sample_id,file,source_hsi_200_hdr,source_hsi_200_raw,height,width,bands,saved_pixel_count,excluded_pixel_count,hdf5_bytes,uncompressed_reflectance_snv_bytes,preprocessing_id
KYOw02702,samples/KYOw02702.h5,200hz_KYOw02702.hdr,200hz_KYOw02702.raw,666,320,256,62814,0,88701995,128643072,200hz_snr10_linear256
KYOw02707,samples/KYOw02707.h5,200hz_KYOw02707.hdr,200hz_KYOw02707.raw,666,320,256,115078,0,161835918,235679744,200hz_snr10_linear256
KYOw02708,samples/KYOw02708.h5,200hz_KYOw02708.hdr,200hz_KYOw02708.raw,666,320,256,104647,0,147528358,214317056,200hz_snr10_linear256
KYOw02709,samples/KYOw02709.h5,200hz_KYOw02709.hdr,200hz_KYOw02709.raw,666,320,256,40105,0,56661589,82135040,200hz_snr10_linear256
KYOw02715,samples/KYOw02715.h5,200hz_KYOw02715.hdr,200hz_KYOw02715.raw,666,320,256,65124,0,91334383,133373952,200hz_snr10_linear256
KYOw02716,samples/KYOw02716.h5,200hz_KYOw02716.hdr,200hz_KYOw02716.raw,666,320,256,62799,0,88431030,128612352,200hz_snr10_linear256
KYOw02717,samples/KYOw02717.h5,200hz_KYOw02717.hdr,200hz_KYOw02717.raw,666,320,256,82044,0,114993275,168026112,200hz_snr10_linear256
KYOw02719,samples/KYOw02719.h5,200hz_KYOw02719.hdr,200hz_KYOw02719.raw,666,320,256,76827,0,108144521,157341696,200hz_snr10_linear256
KYOw02720,samples/KYOw02720.h5,200hz_KYOw02720.hdr,200hz_KYOw02720.raw,666,320,256,131174,0,185404506,268644352,200hz_snr10_linear256
KYOw02751,samples/KYOw02751.h5,200hz_KYOw02751.hdr,200hz_KYOw02751.raw,666,320,256,71469,0,101223550,146368512,200hz_snr10_linear256
KYOw02752,samples/KYOw02752.h5,200hz_KYOw02752.hdr,200hz_KYOw02752.raw,666,320,256,117200,0,166332294,240025600,200hz_snr10_linear256
KYOw02754,samples/KYOw02754.h5,200hz_KYOw02754.hdr,200hz_KYOw02754.raw,666,320,256,47242,0,67039144,96751616,200hz_snr10_linear256
KYOw02756,samples/KYOw02756.h5,200hz_KYOw02756.hdr,200hz_KYOw02756.raw,666,320,256,101107,0,143642257,207067136,200hz_snr10_linear256
KYOw02758,samples/KYOw02758.h5,200hz_KYOw02758.hdr,200hz_KYOw02758.raw,666,320,256,72279,0,103320794,148027392,200hz_snr10_linear256
KYOw02759,samples/KYOw02759.h5,200hz_KYOw02759.hdr,200hz_KYOw02759.raw,666,320,256,74526,0,107267145,152629248,200hz_snr10_linear256
KYOw02760,samples/KYOw02760.h5,200hz_KYOw02760.hdr,200hz_KYOw02760.raw,666,320,256,50131,0,72669909,102668288,200hz_snr10_linear256
KYOw02762,samples/KYOw02762.h5,200hz_KYOw02762.hdr,200hz_KYOw02762.raw,666,320,256,67890,0,98579574,139038720,200hz_snr10_linear256
KYOw02763,samples/KYOw02763.h5,200hz_KYOw02763.hdr,200hz_KYOw02763.raw,666,320,256,102483,0,147128928,209885184,200hz_snr10_linear256
KYOw02764,samples/KYOw02764.h5,200hz_KYOw02764.hdr,200hz_KYOw02764.raw,666,320,256,105831,0,155875690,216741888,200hz_snr10_linear256
KYOw02766,samples/KYOw02766.h5,200hz_KYOw02766.hdr,200hz_KYOw02766.raw,666,320,256,46215,0,66760095,94648320,200hz_snr10_linear256
KYOw02767,samples/KYOw02767.h5,200hz_KYOw02767.hdr,200hz_KYOw02767.raw,666,320,256,152143,0,217512308,311588864,200hz_snr10_linear256
KYOw02768,samples/KYOw02768.h5,200hz_KYOw02768.hdr,200hz_KYOw02768.raw,666,320,256,65943,0,97266535,135051264,200hz_snr10_linear256
KYOw02769,samples/KYOw02769.h5,200hz_KYOw02769.hdr,200hz_KYOw02769.raw,666,320,256,161735,0,231470003,331233280,200hz_snr10_linear256
KYOw02770,samples/KYOw02770.h5,200hz_KYOw02770.hdr,200hz_KYOw02770.raw,666,320,256,33403,0,48207843,68409344,200hz_snr10_linear256
KYOw02771,samples/KYOw02771.h5,200hz_KYOw02771.hdr,200hz_KYOw02771.raw,666,320,256,114096,0,162292306,233668608,200hz_snr10_linear256
KYOw02772,samples/KYOw02772.h5,200hz_KYOw02772.hdr,200hz_KYOw02772.raw,666,320,256,73259,0,106337597,150034432,200hz_snr10_linear256
KYOw02773,samples/KYOw02773.h5,200hz_KYOw02773.hdr,200hz_KYOw02773.raw,666,320,256,52620,0,75302812,107765760,200hz_snr10_linear256
KYOw02774,samples/KYOw02774.h5,200hz_KYOw02774.hdr,200hz_KYOw02774.raw,666,320,256,38942,0,56654648,79753216,200hz_snr10_linear256
KYOw02775,samples/KYOw02775.h5,200hz_KYOw02775.hdr,200hz_KYOw02775.raw,666,320,256,51705,0,74409800,105891840,200hz_snr10_linear256
KYOw02776,samples/KYOw02776.h5,200hz_KYOw02776.hdr,200hz_KYOw02776.raw,666,320,256,91475,0,131083768,187340800,200hz_snr10_linear256
KYOw02777,samples/KYOw02777.h5,200hz_KYOw02777.hdr,200hz_KYOw02777.raw,666,320,256,121687,0,173692418,249214976,200hz_snr10_linear256
KYOw02780,samples/KYOw02780.h5,200hz_KYOw02780.hdr,200hz_KYOw02780.raw,666,320,256,56542,0,81323198,115798016,200hz_snr10_linear256
KYOw02783,samples/KYOw02783.h5,200hz_KYOw02783.hdr,200hz_KYOw02783.raw,666,320,256,84218,0,120941839,172478464,200hz_snr10_linear256
KYOw02784,samples/KYOw02784.h5,200hz_KYOw02784.hdr,200hz_KYOw02784.raw,666,320,256,117564,0,167806552,240771072,200hz_snr10_linear256
KYOw02787,samples/KYOw02787.h5,200hz_KYOw02787.hdr,200hz_KYOw02787.raw,666,320,256,106684,0,151705168,218488832,200hz_snr10_linear256
KYOw02788,samples/KYOw02788.h5,200hz_KYOw02788.hdr,200hz_KYOw02788.raw,666,320,256,112294,0,161213797,229978112,200hz_snr10_linear256
KYOw02789,samples/KYOw02789.h5,200hz_KYOw02789.hdr,200hz_KYOw02789.raw,666,320,256,125946,0,183013476,257937408,200hz_snr10_linear256
KYOw02790,samples/KYOw02790.h5,200hz_KYOw02790.hdr,200hz_KYOw02790.raw,666,320,256,26249,0,37439578,53757952,200hz_snr10_linear256
KYOw16662,samples/KYOw16662.h5,200hz_KYOw16662.hdr,200hz_KYOw16662.raw,666,320,256,48925,0,70002152,100198400,200hz_snr10_linear256
