sample_id,lower_threshold,upper_threshold,background_class_pixels,dark_wood_class_pixels,bright_wood_class_pixels,height,width,total_pixels,otsu_threshold,otsu_pixels,after_erosion_pixels,final_mask_pixels,erosion_removed_pixels,small_object_removed_pixels,final_mask_fraction,initial_component_count,final_component_count
KYOw02702,2468818.427734375,4123952.376953125,148646,34158,30316,666,320,213120,2468818.427734375,64474,62814,62814,1660,0,0.29473536036036035,2,2
KYOw02707,1699940.560546875,3137832.087890625,96636,1521,114963,666,320,213120,1699940.560546875,116484,115078,115078,1406,0,0.5399680930930931,1,1
KYOw02708,2450558.328125,4081675.390625,107447,43677,61996,666,320,213120,2450558.328125,105673,104647,104647,1026,0,0.49102383633633634,1,1
KYOw02709,2403356.810546875,4056628.822265625,172076,8956,32088,666,320,213120,2403356.810546875,41044,40105,40105,939,0,0.18818036786786788,1,1
KYOw02715,1920681.681640625,3701682.935546875,146957,1210,64953,666,320,213120,1920681.681640625,66163,65124,65124,1039,0,0.3055743243243243,1,1
KYOw02716,1757100.0078125,3342020.5546875,149096,1713,62311,666,320,213120,1757100.0078125,64024,62799,62799,1225,0,0.2946649774774775,1,2
KYOw02717,1873632.015625,3579478.890625,129497,1912,81711,666,320,213120,1873632.015625,83623,82044,82044,1579,0,0.38496621621621624,2,2
KYOw02719,2536114.849609375,4244129.947265625,135124,32608,45388,666,320,213120,2536114.849609375,77996,76827,76827,1169,0,0.3604870495495496,1,1
KYOw02720,2527446.404296875,4213131.623046875,80352,64240,68528,666,320,213120,2527446.404296875,132768,131174,131174,1594,0,0.6154936186186186,1,1
KYOw02751,2640519.388671875,4502869.662109375,140594,24445,48081,666,320,213120,2640519.388671875,72526,71469,71469,1057,0,0.3353462837837838,1,1
KYOw02752,2413674.111328125,4057796.900390625,94419,35923,82778,666,320,213120,2413674.111328125,118701,117200,117200,1501,0,0.549924924924925,1,1
KYOw02754,2594504.25,4387098.75,164937,16043,32140,666,320,213120,2594504.25,48183,47242,47242,941,0,0.22166854354354354,1,1
KYOw02756,2425595.77734375,4140232.19140625,110473,25634,77013,666,320,213120,2425595.77734375,102647,101107,101107,1540,0,0.474413475975976,1,1
KYOw02758,2202044.876953125,3857786.146484375,139451,17114,56555,666,320,213120,2202044.876953125,73669,72279,72279,1390,0,0.33914695945945944,1,1
