stage,band_index,wavelength_nm,low_snr,sample_count,median_nonfinite_fraction,q90_nonfinite_fraction,max_nonfinite_fraction,median_negative_fraction,q90_negative_fraction,max_negative_fraction,median_above_one_fraction,q90_above_one_fraction,max_above_one_fraction,median_sample_q01,median_sample_median,median_sample_q99,q10_sample_median,q90_sample_median
reflectance,0,913.1,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41894835293293,0.6257408857345581,0.6881083250045776,0.5456919431686401,0.7043820261955261
reflectance,1,918.5607450980392,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45166935086250304,0.6635879278182983,0.7205657756328583,0.5815642654895783,0.7295910835266113
reflectance,2,924.0214901960785,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46011326789855955,0.6856470704078674,0.7401888358592987,0.5963750064373017,0.7522206544876099
reflectance,3,929.4822352941177,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46787436932325366,0.6982145309448242,0.7522086226940158,0.6099529147148133,0.7621652662754059
reflectance,4,934.9429803921569,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47455672800540927,0.7085893154144287,0.7613422882556916,0.6224650144577026,0.7712923407554627
reflectance,5,940.4037254901962,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48058766067028047,0.7184267640113831,0.7730389082431793,0.6330614686012268,0.7816071629524232
reflectance,6,945.8644705882353,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4848935866355896,0.7250466346740723,0.7809544837474823,0.6394431829452515,0.7863272070884705
reflectance,7,951.3252156862745,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48981043577194217,0.7264962792396545,0.7809309315681457,0.6412151753902435,0.7855042815208435
reflectance,8,956.7859607843137,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49698098659515383,0.7265304327011108,0.7804919660091401,0.6428316354751588,0.7833974003791809
reflectance,9,962.246705882353,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5009451472759248,0.7233690619468689,0.7772429966926575,0.6413252294063568,0.7781994700431824
reflectance,10,967.7074509803922,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5038878655433655,0.7189560532569885,0.7743635869026184,0.639055734872818,0.77449209690094
reflectance,11,973.1681960784314,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5041415190696716,0.7141402363777161,0.7711266028881073,0.6365567684173584,0.7712066888809205
reflectance,12,978.6289411764706,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045626449584961,0.7107069492340088,0.7681273138523101,0.6383956432342529,0.7684057116508484
reflectance,13,984.0896862745099,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5049200582504273,0.7084687352180481,0.7656436425447464,0.6405809164047241,0.7655333042144775
reflectance,14,989.550431372549,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505977817773819,0.7072725296020508,0.7645876550674439,0.6429472446441651,0.7632539629936218
reflectance,15,995.0111764705882,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5066689497232437,0.7078032493591309,0.7651427793502806,0.6439161181449891,0.7626090049743652
reflectance,16,1000.4719215686275,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5093126183748246,0.7096824645996094,0.7665052092075348,0.6460432291030884,0.7632500290870666
reflectance,17,1005.9326666666667,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5108736228942871,0.7123304605484009,0.7694965791702271,0.6492197751998902,0.764956271648407
reflectance,18,1011.3934117647059,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5128132295608521,0.715133547782898,0.7726210296154022,0.6525682091712952,0.7671727538108826
reflectance,19,1016.8541568627452,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5148486757278442,0.7184615135192871,0.7759056723117829,0.6560606002807617,0.7704078555107117
reflectance,20,1022.3149019607844,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5174902033805847,0.7224453091621399,0.7796398234367373,0.6598781704902649,0.7741577744483947
reflectance,21,1027.7756470588236,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5204897266626358,0.7266435325145721,0.783725212812424,0.6637322664260864,0.7780431270599365
reflectance,22,1033.2363921568628,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5218428683280945,0.7304149866104126,0.7877262115478517,0.6674333453178406,0.7817300677299499
reflectance,23,1038.697137254902,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5231008172035218,0.7342081665992737,0.7904504376649857,0.6706739187240601,0.7847182989120484
reflectance,24,1044.1578823529412,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5235558140277863,0.7377573847770691,0.7928432333469391,0.6741646766662598,0.7874633312225342
reflectance,25,1049.6186274509805,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5260325187444687,0.7410545945167542,0.7952155554294584,0.6777082681655884,0.7898772358894348
reflectance,26,1055.0793725490196,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5290184819698334,0.7443082928657532,0.7978791326284408,0.6812950134277344,0.7920240879058837
reflectance,27,1060.5401176470589,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5310947114229202,0.7475419044494629,0.8006334495544434,0.6849326252937317,0.7941162347793579
reflectance,28,1066.0008627450982,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533408698439598,0.7505477666854858,0.803001059293747,0.6884323835372925,0.7961989521980286
reflectance,29,1071.4616078431372,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536146222949028,0.7538067698478699,0.8057385504245758,0.692153537273407,0.7985314011573792
reflectance,30,1076.9223529411765,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394558984041214,0.7569827437400818,0.8092442518472671,0.6958097577095032,0.8010920286178589
reflectance,31,1082.3830980392158,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5418118548393249,0.7604656219482422,0.8131187874078749,0.6996254682540893,0.8046242833137512
reflectance,32,1087.843843137255,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5448376280069351,0.7641996741294861,0.8167998993396759,0.7030902981758118,0.8078526020050049
reflectance,33,1093.3045882352942,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5471569085121155,0.7680218815803528,0.820192687511444,0.7064555883407593,0.8107626438140869
reflectance,34,1098.7653333333333,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5495826315879822,0.7714147567749023,0.8228902518749236,0.7096795082092285,0.813091766834259
reflectance,35,1104.2260784313726,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5518035888671875,0.7736160159111023,0.8244921612739563,0.7122116804122925,0.8141118049621582
reflectance,36,1109.6868235294119,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538564705848694,0.7736930251121521,0.823995635509491,0.7131500720977784,0.8130202889442444
reflectance,37,1115.1475686274512,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5553863829374314,0.7707682847976685,0.8213370549678802,0.7116887092590333,0.8094159722328186
