sample_id,mask_pixel_count,source_full_band_invalid_snv_pixel_count,nonfinite_retained_reflectance_pixel_count,nonpositive_snv_input_std_pixel_count,saved_pixel_count,excluded_pixel_count,excluded_pixel_fraction,pixels_with_any_negative_interpolated_reflectance,pixels_with_any_interpolated_reflectance_above_one,final_snv_first_difference_rms_q99,final_snv_max_abs_second_difference_q99,final_snv_max_abs_second_difference_max,snv_mean_absolute_max,snv_sample_std_absolute_error_max,snv_l2_norm_absolute_error_max
KYOw02702,62814,0,0,0,62814,0,0.0,0,0,0.06358105860940957,0.45287627890706106,2.114838993176818,6.548361852765083e-09,8.5914710901136e-09,1.371947906392279e-07
KYOw02707,115078,0,0,0,115078,0,0.0,0,0,0.056707854708254964,0.4361467206478117,4.304124087095261,7.0140231400728226e-09,8.609519985824932e-09,1.374830098654911e-07
KYOw02708,104647,519,0,0,104647,0,0.0,0,0,0.05219150115116802,0.45067756175994783,1.6885812487453222,7.195922080427408e-09,8.639914561570095e-09,1.379683709501478e-07
KYOw02709,40105,0,0,0,40105,0,0.0,0,0,0.07306892061517753,0.5548753786087031,2.419986918568611,7.117705536074936e-09,8.849539545607854e-09,1.4131581416165773e-07
KYOw02715,65124,0,0,0,65124,0,0.0,0,0,0.06975211343641337,0.47524612307548386,5.792857110500336,8.956703823059797e-09,8.662101702583413e-09,1.3832267242719354e-07
KYOw02716,62799,0,0,0,62799,0,0.0,0,0,0.08794893821135073,0.7237406635284401,4.563940137624741,6.592017598450184e-09,9.253610877557605e-09,1.4776831491758458e-07
KYOw02717,82044,0,0,0,82044,0,0.0,0,0,0.06482148914847677,0.4729825425148001,4.745097815990448,6.126356311142445e-09,8.452535449343657e-09,1.3497616713209482e-07
KYOw02719,76827,0,0,0,76827,0,0.0,0,0,0.05738408333748933,0.42339626789093043,2.0544369220733643,7.639755494892597e-09,9.582613480496605e-09,1.5302206612943792e-07
KYOw02720,131174,0,0,0,131174,0,0.0,0,0,0.056150159149677414,0.41428303837776237,2.3412229038076475,6.781192496418953e-09,9.536966438794536e-09,1.522931416531037e-07
KYOw02751,71469,0,0,0,71469,0,0.0,0,0,0.05949031172446255,0.4881031930446623,1.410435050725937,7.30506144464016e-09,8.172330812072914e-09,1.3050165748040854e-07
KYOw02752,117200,0,0,0,117200,0,0.0,7,0,0.05854065649892818,0.46205126643180655,2.451334910467267,7.2177499532699585e-09,1.0534794814276438e-08,1.6822718329478903e-07
KYOw02754,47242,0,0,0,47242,0,0.0,0,0,0.06957751174669842,0.5177596580982192,2.786361124366522,7.246853783726692e-09,8.496718439943152e-09,1.3568171119970884e-07
KYOw02756,101107,0,0,0,101107,0,0.0,0,0,0.06558025872734334,0.48354228831827706,3.657822847366333,6.752088665962219e-09,1.1629438190219332e-08,1.8570723625543906e-07
KYOw02758,72279,0,0,0,72279,0,0.0,0,0,0.06547361776242201,0.43267549544572875,2.242528535425663,6.2282197177410126e-09,8.514903226952697e-09,1.3597210291038664e-07
