condition,contrast,cluster,kind,wavelength_nm,difference,aggregation
A1,A1-M00,1,reflectance,913.1,-0.009417521733045886,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,918.5607450980392,-0.0035740772648844565,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,924.0214901960785,0.0005030045157226049,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,929.4822352941177,0.0030757208985014994,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,934.9429803921569,0.004657263474657669,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,940.4037254901962,0.0057003547036241775,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,945.8644705882353,0.006453634097236094,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,951.3252156862745,0.006988461577313809,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,956.7859607843137,0.007496624939400398,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,962.246705882353,0.0080988088912336,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,967.7074509803922,0.008471872700828165,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,973.1681960784314,0.00890081487888672,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,978.6289411764706,0.009389121481743534,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,984.0896862745099,0.009783163150998142,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,989.550431372549,0.010135273833371539,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,995.0111764705882,0.010350090545916513,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1000.4719215686275,0.010479421501057073,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1005.9326666666667,0.010527723818763102,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1011.3934117647059,0.010620074894376774,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1016.8541568627452,0.010733488046498318,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1022.3149019607844,0.010833352935454066,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1027.7756470588236,0.010972743771257898,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1033.2363921568628,0.011134383907497214,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1038.697137254902,0.01117978731511693,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1044.1578823529412,0.011230432613724028,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1049.6186274509805,0.011359662826313732,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1055.0793725490196,0.011495887493410684,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1060.5401176470589,0.011578267827546895,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1066.0008627450982,0.011644987409031637,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1071.4616078431372,0.01181163384846784,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1076.9223529411765,0.011892248012255302,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1082.3830980392158,0.011926407137660133,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1087.843843137255,0.01202948147971683,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1093.3045882352942,0.01214918465827275,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1098.7653333333333,0.01226549439485658,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1104.2260784313726,0.012402643426313142,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1109.6868235294119,0.012563837842338943,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1115.1475686274512,0.012926083603802985,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1120.6083137254902,0.013232259418926917,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1126.0690588235295,0.013643722006141723,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1131.5298039215686,0.014107573108686267,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1136.990549019608,0.014522796880261035,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1142.4512941176472,0.014794930692280439,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1147.9120392156863,0.014907542167295285,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1153.3727843137256,0.015139561542718116,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1158.8335294117649,0.015268342221960163,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1164.294274509804,0.015470226684417998,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1169.7550196078432,0.015641304821379265,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1175.2157647058825,0.015778034045543343,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1180.6765098039216,0.01588837001597565,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1186.137254901961,0.015973960294000444,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1191.598,0.01614322931373513,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1197.0587450980393,0.016201928364815266,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1202.5194901960786,0.0163509015119383,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1207.9802352941178,0.016455573055308648,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1213.440980392157,0.016521808206456434,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1218.9017254901962,0.016597641993658097,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1224.3624705882353,0.0167092423212718,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1229.8232156862746,0.016831721963495028,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1235.2839607843139,0.01695140453581634,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1240.7447058823532,0.016978984255619833,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1246.2054509803922,0.017089799809418604,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1251.6661960784315,0.017162933116603107,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1257.1269411764706,0.017187775743295663,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1262.58768627451,0.01719243999922926,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1268.0484313725492,0.01716096774326925,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1273.5091764705883,0.017219829309377266,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1278.9699215686276,0.017045217002090496,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1284.4306666666666,0.017121561376720273,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1289.891411764706,0.01722138122156014,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1295.3521568627452,0.017391566107689105,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1300.8129019607845,0.0173816940528585,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1306.2736470588236,0.01702224555263987,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1311.734392156863,0.017497199079444137,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1317.195137254902,0.01746039280009304,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1322.6558823529413,0.017638682218541257,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1328.1166274509806,0.01773232423133786,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1333.5773725490199,0.01778793499032627,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1339.038117647059,0.01788317129639616,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1344.4988627450982,0.018023470025176014,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1349.9596078431373,0.01815526133471579,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1355.4203529411766,0.018298097877972652,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1360.8810980392159,0.018407085061152517,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1366.341843137255,0.018527867504968043,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1371.8025882352943,0.018579384295813406,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1377.2633333333333,0.018569000653238854,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1382.7240784313726,0.018554900996564316,difference of equal-sample representative means; not paired
