sample_id,condition,cluster,pixels,pseudoabsorbance_pixels,pseudoabsorbance_excluded_pixels,pseudoabsorbance_defined
KYOw02702,A1,1,12635,12635,0,True
KYOw02702,A1,2,0,0,0,False
KYOw02702,A1,8,5046,5046,0,True
KYOw02702,A1,4,0,0,0,False
KYOw02702,A1,5,272,272,0,True
KYOw02702,A1,6,37875,37875,0,True
KYOw02702,A1,7,6596,6596,0,True
KYOw02702,A1,3,390,390,0,True
KYOw02707,A1,1,2624,2624,0,True
KYOw02707,A1,2,70,70,0,True
KYOw02707,A1,8,1604,1604,0,True
KYOw02707,A1,4,37,37,0,True
KYOw02707,A1,5,358,358,0,True
KYOw02707,A1,6,100710,100710,0,True
KYOw02707,A1,7,7364,7364,0,True
KYOw02707,A1,3,2311,2311,0,True
KYOw02708,A1,1,37383,37383,0,True
KYOw02708,A1,2,1464,1464,0,True
KYOw02708,A1,8,2607,2607,0,True
KYOw02708,A1,4,6,6,0,True
KYOw02708,A1,5,165,165,0,True
KYOw02708,A1,6,39005,39005,0,True
KYOw02708,A1,7,22332,22332,0,True
KYOw02708,A1,3,1685,1685,0,True
KYOw02709,A1,1,512,512,0,True
KYOw02709,A1,2,234,234,0,True
KYOw02709,A1,8,3452,3452,0,True
KYOw02709,A1,4,214,214,0,True
KYOw02709,A1,5,1,1,0,True
KYOw02709,A1,6,32141,32141,0,True
KYOw02709,A1,7,306,306,0,True
KYOw02709,A1,3,3245,3245,0,True
KYOw02715,A1,1,60818,60818,0,True
KYOw02715,A1,2,0,0,0,False
KYOw02715,A1,8,4016,4016,0,True
KYOw02715,A1,4,35,35,0,True
KYOw02715,A1,5,58,58,0,True
KYOw02715,A1,6,11,11,0,True
KYOw02715,A1,7,7,7,0,True
KYOw02715,A1,3,179,179,0,True
KYOw02716,A1,1,214,214,0,True
KYOw02716,A1,2,14,14,0,True
KYOw02716,A1,8,4470,4470,0,True
KYOw02716,A1,4,4,4,0,True
KYOw02716,A1,5,36,36,0,True
KYOw02716,A1,6,57065,57065,0,True
KYOw02716,A1,7,174,174,0,True
KYOw02716,A1,3,822,822,0,True
KYOw02717,A1,1,64949,64949,0,True
KYOw02717,A1,2,9,9,0,True
KYOw02717,A1,8,6128,6128,0,True
KYOw02717,A1,4,31,31,0,True
KYOw02717,A1,5,1505,1505,0,True
KYOw02717,A1,6,5712,5712,0,True
KYOw02717,A1,7,3070,3070,0,True
KYOw02717,A1,3,640,640,0,True
KYOw02719,A1,1,67286,67286,0,True
KYOw02719,A1,2,0,0,0,False
KYOw02719,A1,8,2236,2236,0,True
KYOw02719,A1,4,0,0,0,False
KYOw02719,A1,5,173,173,0,True
KYOw02719,A1,6,4957,4957,0,True
KYOw02719,A1,7,1060,1060,0,True
KYOw02719,A1,3,1115,1115,0,True
KYOw02720,A1,1,89916,89916,0,True
KYOw02720,A1,2,12,12,0,True
KYOw02720,A1,8,3489,3489,0,True
KYOw02720,A1,4,1,1,0,True
KYOw02720,A1,5,20179,20179,0,True
KYOw02720,A1,6,4228,4228,0,True
KYOw02720,A1,7,13086,13086,0,True
KYOw02720,A1,3,263,263,0,True
KYOw02751,A1,1,56607,56607,0,True
KYOw02751,A1,2,1,1,0,True
KYOw02751,A1,8,8274,8274,0,True
KYOw02751,A1,4,270,270,0,True
KYOw02751,A1,5,24,24,0,True
KYOw02751,A1,6,1981,1981,0,True
KYOw02751,A1,7,109,109,0,True
KYOw02751,A1,3,4203,4203,0,True
KYOw02752,A1,1,34152,34152,0,True
KYOw02752,A1,2,16,16,0,True
KYOw02752,A1,8,4781,4781,0,True
KYOw02752,A1,4,0,0,0,False
KYOw02752,A1,5,10309,10309,0,True
KYOw02752,A1,6,59190,59189,1,True
KYOw02752,A1,7,6400,6400,0,True
KYOw02752,A1,3,2345,2345,0,True
KYOw02754,A1,1,33385,33385,0,True
KYOw02754,A1,2,0,0,0,False
KYOw02754,A1,8,8853,8853,0,True
KYOw02754,A1,4,27,27,0,True
KYOw02754,A1,5,1,1,0,True
KYOw02754,A1,6,3443,3443,0,True
KYOw02754,A1,7,357,357,0,True
KYOw02754,A1,3,1176,1176,0,True
KYOw02756,A1,1,66291,66291,0,True
KYOw02756,A1,2,34,34,0,True
KYOw02756,A1,8,9128,9128,0,True
KYOw02756,A1,4,43,43,0,True
KYOw02756,A1,5,4306,4306,0,True
KYOw02756,A1,6,10111,10111,0,True
KYOw02756,A1,7,9235,9235,0,True
KYOw02756,A1,3,1959,1959,0,True
KYOw02758,A1,1,5146,5146,0,True
KYOw02758,A1,2,1694,1694,0,True
KYOw02758,A1,8,5072,5072,0,True
KYOw02758,A1,4,1392,1392,0,True
KYOw02758,A1,5,0,0,0,False
KYOw02758,A1,6,48933,48933,0,True
KYOw02758,A1,7,6919,6919,0,True
KYOw02758,A1,3,3123,3123,0,True
KYOw02759,A1,1,39174,39174,0,True
KYOw02759,A1,2,5175,5175,0,True
KYOw02759,A1,8,2824,2824,0,True
KYOw02759,A1,4,17,17,0,True
KYOw02759,A1,5,3561,3561,0,True
KYOw02759,A1,6,9040,9040,0,True
KYOw02759,A1,7,12150,12150,0,True
KYOw02759,A1,3,2525,2525,0,True
KYOw02760,A1,1,14164,14164,0,True
KYOw02760,A1,2,24,24,0,True
KYOw02760,A1,8,1833,1833,0,True
KYOw02760,A1,4,0,0,0,False
KYOw02760,A1,5,4,4,0,True
KYOw02760,A1,6,10596,10596,0,True
KYOw02760,A1,7,23164,23164,0,True
KYOw02760,A1,3,343,342,1,True
KYOw02762,A1,1,5,5,0,True
KYOw02762,A1,2,12646,12646,0,True
KYOw02762,A1,8,963,963,0,True
KYOw02762,A1,4,99,99,0,True
KYOw02762,A1,5,0,0,0,False
KYOw02762,A1,6,38702,38700,2,True
KYOw02762,A1,7,4604,4603,1,True
KYOw02762,A1,3,10859,10859,0,True
KYOw02763,A1,1,51219,51219,0,True
KYOw02763,A1,2,1,1,0,True
KYOw02763,A1,8,4167,4167,0,True
KYOw02763,A1,4,599,599,0,True
KYOw02763,A1,5,3,3,0,True
