sample_id,condition,cluster,pixels,pseudoabsorbance_pixels,pseudoabsorbance_excluded_pixels,pseudoabsorbance_defined
KYOw02702,B1,1,457,457,0,True
KYOw02702,B1,6,22094,22094,0,True
KYOw02702,B1,4,1103,1103,0,True
KYOw02702,B1,5,795,795,0,True
KYOw02702,B1,3,3726,3726,0,True
KYOw02702,B1,7,121,121,0,True
KYOw02702,B1,2,29758,29758,0,True
KYOw02702,B1,8,4760,4760,0,True
KYOw02707,B1,1,1183,1183,0,True
KYOw02707,B1,6,13189,13189,0,True
KYOw02707,B1,4,3238,3238,0,True
KYOw02707,B1,5,524,524,0,True
KYOw02707,B1,3,1851,1851,0,True
KYOw02707,B1,7,1084,1084,0,True
KYOw02707,B1,2,90697,90697,0,True
KYOw02707,B1,8,3312,3312,0,True
KYOw02708,B1,1,11422,11422,0,True
KYOw02708,B1,6,5675,5675,0,True
KYOw02708,B1,4,5967,5967,0,True
KYOw02708,B1,5,1995,1995,0,True
KYOw02708,B1,3,1359,1359,0,True
KYOw02708,B1,7,2670,2670,0,True
KYOw02708,B1,2,74670,74670,0,True
KYOw02708,B1,8,889,889,0,True
KYOw02709,B1,1,1,1,0,True
KYOw02709,B1,6,14673,14673,0,True
KYOw02709,B1,4,5157,5157,0,True
KYOw02709,B1,5,27,27,0,True
KYOw02709,B1,3,1943,1943,0,True
KYOw02709,B1,7,372,372,0,True
KYOw02709,B1,2,4389,4389,0,True
KYOw02709,B1,8,13543,13543,0,True
KYOw02715,B1,1,45643,45643,0,True
KYOw02715,B1,6,598,598,0,True
KYOw02715,B1,4,1031,1031,0,True
KYOw02715,B1,5,11137,11137,0,True
KYOw02715,B1,3,6285,6285,0,True
KYOw02715,B1,7,5,5,0,True
KYOw02715,B1,2,292,292,0,True
KYOw02715,B1,8,133,133,0,True
KYOw02716,B1,1,146,146,0,True
KYOw02716,B1,6,8885,8885,0,True
KYOw02716,B1,4,1915,1915,0,True
KYOw02716,B1,5,117,117,0,True
KYOw02716,B1,3,3254,3254,0,True
KYOw02716,B1,7,16907,16907,0,True
KYOw02716,B1,2,9193,9193,0,True
KYOw02716,B1,8,22382,22382,0,True
KYOw02717,B1,1,39741,39741,0,True
KYOw02717,B1,6,4449,4449,0,True
KYOw02717,B1,4,3918,3918,0,True
KYOw02717,B1,5,4323,4323,0,True
KYOw02717,B1,3,6263,6263,0,True
KYOw02717,B1,7,2518,2518,0,True
KYOw02717,B1,2,17566,17566,0,True
KYOw02717,B1,8,3266,3266,0,True
KYOw02719,B1,1,56123,56123,0,True
KYOw02719,B1,6,2168,2168,0,True
KYOw02719,B1,4,2681,2681,0,True
KYOw02719,B1,5,6035,6035,0,True
KYOw02719,B1,3,3765,3765,0,True
KYOw02719,B1,7,353,353,0,True
KYOw02719,B1,2,5513,5513,0,True
KYOw02719,B1,8,189,189,0,True
KYOw02720,B1,1,69029,69029,0,True
KYOw02720,B1,6,7375,7375,0,True
KYOw02720,B1,4,894,894,0,True
KYOw02720,B1,5,11398,11398,0,True
KYOw02720,B1,3,4935,4935,0,True
KYOw02720,B1,7,147,147,0,True
KYOw02720,B1,2,35513,35513,0,True
KYOw02720,B1,8,1883,1883,0,True
KYOw02751,B1,1,17058,17058,0,True
KYOw02751,B1,6,97,97,0,True
KYOw02751,B1,4,7495,7495,0,True
KYOw02751,B1,5,32231,32231,0,True
KYOw02751,B1,3,13479,13479,0,True
KYOw02751,B1,7,141,141,0,True
KYOw02751,B1,2,855,855,0,True
KYOw02751,B1,8,113,113,0,True
KYOw02752,B1,1,18616,18616,0,True
KYOw02752,B1,6,27447,27447,0,True
KYOw02752,B1,4,7295,7295,0,True
KYOw02752,B1,5,10928,10928,0,True
KYOw02752,B1,3,9613,9613,0,True
KYOw02752,B1,7,1740,1740,0,True
KYOw02752,B1,2,33067,33067,0,True
KYOw02752,B1,8,8487,8486,1,True
KYOw02754,B1,1,11278,11278,0,True
KYOw02754,B1,6,1995,1995,0,True
KYOw02754,B1,4,2304,2304,0,True
KYOw02754,B1,5,12107,12107,0,True
KYOw02754,B1,3,12706,12706,0,True
KYOw02754,B1,7,331,331,0,True
KYOw02754,B1,2,4526,4526,0,True
KYOw02754,B1,8,1995,1995,0,True
KYOw02756,B1,1,29570,29570,0,True
KYOw02756,B1,6,2695,2695,0,True
KYOw02756,B1,4,6417,6417,0,True
KYOw02756,B1,5,26408,26408,0,True
KYOw02756,B1,3,16184,16184,0,True
KYOw02756,B1,7,542,542,0,True
KYOw02756,B1,2,18046,18046,0,True
KYOw02756,B1,8,1245,1245,0,True
KYOw02758,B1,1,203,203,0,True
KYOw02758,B1,6,4442,4442,0,True
KYOw02758,B1,4,12811,12811,0,True
KYOw02758,B1,5,191,191,0,True
KYOw02758,B1,3,3947,3947,0,True
KYOw02758,B1,7,14685,14685,0,True
KYOw02758,B1,2,12197,12197,0,True
KYOw02758,B1,8,23803,23803,0,True
KYOw02759,B1,1,21769,21769,0,True
KYOw02759,B1,6,9776,9776,0,True
KYOw02759,B1,4,4234,4234,0,True
KYOw02759,B1,5,5994,5994,0,True
KYOw02759,B1,3,3322,3322,0,True
KYOw02759,B1,7,693,693,0,True
KYOw02759,B1,2,26851,26851,0,True
KYOw02759,B1,8,1827,1827,0,True
KYOw02760,B1,1,3975,3975,0,True
KYOw02760,B1,6,10785,10785,0,True
KYOw02760,B1,4,581,580,1,True
KYOw02760,B1,5,2009,2009,0,True
KYOw02760,B1,3,2079,2079,0,True
KYOw02760,B1,7,283,283,0,True
KYOw02760,B1,2,28664,28664,0,True
KYOw02760,B1,8,1752,1752,0,True
KYOw02762,B1,1,3,3,0,True
KYOw02762,B1,6,1822,1822,0,True
KYOw02762,B1,4,28973,28972,1,True
KYOw02762,B1,5,2,2,0,True
KYOw02762,B1,3,439,439,0,True
KYOw02762,B1,7,11510,11508,2,True
KYOw02762,B1,2,14611,14611,0,True
KYOw02762,B1,8,10518,10518,0,True
KYOw02763,B1,1,32957,32957,0,True
KYOw02763,B1,6,1014,1014,0,True
KYOw02763,B1,4,8828,8828,0,True
KYOw02763,B1,5,6953,6953,0,True
KYOw02763,B1,3,4853,4853,0,True
KYOw02763,B1,7,3633,3633,0,True
KYOw02763,B1,2,43431,43428,3,True
KYOw02763,B1,8,793,793,0,True
KYOw02764,B1,1,277,277,0,True
KYOw02764,B1,6,24679,24678,1,True
KYOw02764,B1,4,727,727,0,True
KYOw02764,B1,5,82,82,0,True
KYOw02764,B1,3,2109,2109,0,True
KYOw02764,B1,7,222,222,0,True
KYOw02764,B1,2,76437,76434,3,True
KYOw02764,B1,8,1183,1183,0,True
KYOw02766,B1,1,3008,3008,0,True
KYOw02766,B1,6,3182,3182,0,True
KYOw02766,B1,4,16639,16639,0,True
KYOw02766,B1,5,4104,4104,0,True
KYOw02766,B1,3,4665,4665,0,True
KYOw02766,B1,7,1410,1410,0,True
KYOw02766,B1,2,11111,11110,1,True
KYOw02766,B1,8,2057,2057,0,True
KYOw02767,B1,1,8601,8601,0,True
KYOw02767,B1,6,541,541,0,True
KYOw02767,B1,4,10375,10375,0,True
KYOw02767,B1,5,10730,10730,0,True
KYOw02767,B1,3,92543,92543,0,True
KYOw02767,B1,7,2753,2753,0,True
KYOw02767,B1,2,26321,26321,0,True
KYOw02767,B1,8,279,279,0,True
KYOw02768,B1,1,34,34,0,True
KYOw02768,B1,6,0,0,0,False
KYOw02768,B1,4,53290,53289,1,True
KYOw02768,B1,5,17,17,0,True
KYOw02768,B1,3,768,768,0,True
KYOw02768,B1,7,10928,10928,0,True
KYOw02768,B1,2,801,801,0,True
KYOw02768,B1,8,54,54,0,True
KYOw02769,B1,1,65891,65891,0,True
KYOw02769,B1,6,4482,4482,0,True
KYOw02769,B1,4,4896,4896,0,True
KYOw02769,B1,5,14760,14760,0,True
KYOw02769,B1,3,5487,5487,0,True
KYOw02769,B1,7,1789,1789,0,True
KYOw02769,B1,2,62201,62201,0,True
KYOw02769,B1,8,2228,2228,0,True
KYOw02770,B1,1,137,137,0,True
KYOw02770,B1,6,9418,9418,0,True
KYOw02770,B1,4,3483,3483,0,True
KYOw02770,B1,5,57,57,0,True
KYOw02770,B1,3,837,837,0,True
KYOw02770,B1,7,2230,2230,0,True
KYOw02770,B1,2,10282,10282,0,True
KYOw02770,B1,8,6959,6959,0,True
KYOw02771,B1,1,58390,58390,0,True
KYOw02771,B1,6,402,402,0,True
KYOw02771,B1,4,1871,1871,0,True
KYOw02771,B1,5,23997,23997,0,True
KYOw02771,B1,3,8442,8442,0,True
KYOw02771,B1,7,589,589,0,True
KYOw02771,B1,2,20392,20392,0,True
KYOw02771,B1,8,13,13,0,True
KYOw02772,B1,1,7491,7491,0,True
KYOw02772,B1,6,3826,3826,0,True
KYOw02772,B1,4,26474,26474,0,True
KYOw02772,B1,5,4747,4747,0,True
KYOw02772,B1,3,3830,3830,0,True
KYOw02772,B1,7,5088,5088,0,True
KYOw02772,B1,2,21222,21221,1,True
