condition,reference_cluster,original_target_cluster,display_target_cluster,snv_cosine_similarity,iou,pixel_count,assigned
M00,1,1,1,1.0,1.0,1317472,True
M00,2,1,1,0.9748655727216224,0.0,0,False
M00,3,1,1,0.9059727779665945,0.0,0,False
M00,4,1,1,0.8700537269927044,0.0,0,False
M00,5,1,1,0.9910384802793,0.0,0,False
M00,6,1,1,0.9988415199487616,0.0,0,False
M00,7,1,1,0.9969135065410458,0.0,0,False
M00,8,1,1,0.9811727676179803,0.0,0,False
M00,1,2,2,0.9748655727216224,0.0,0,False
M00,2,2,2,0.9999999999999996,1.0,88159,True
M00,3,2,2,0.8020727278789137,0.0,0,False
M00,4,2,2,0.7718294854202368,0.0,0,False
M00,5,2,2,0.9393580232717585,0.0,0,False
M00,6,2,2,0.9662706616021988,0.0,0,False
M00,7,2,2,0.9853314104630226,0.0,0,False
M00,8,2,2,0.9207715129987459,0.0,0,False
M00,1,3,3,0.9059727779665945,0.0,0,False
M00,2,3,3,0.8020727278789137,0.0,0,False
M00,3,3,3,0.9999999999999994,1.0,88912,True
M00,4,3,3,0.9829652303567793,0.0,0,False
M00,5,3,3,0.9532190155723237,0.0,0,False
M00,6,3,3,0.919929761640983,0.0,0,False
M00,7,3,3,0.8742487691113175,0.0,0,False
M00,8,3,3,0.966282973077188,0.0,0,False
M00,1,4,4,0.8700537269927044,0.0,0,False
M00,2,4,4,0.7718294854202368,0.0,0,False
M00,3,4,4,0.9829652303567793,0.0,0,False
M00,4,4,4,1.0,1.0,139992,True
M00,5,4,4,0.9183462002912388,0.0,0,False
M00,6,4,4,0.8865145568901598,0.0,0,False
M00,7,4,4,0.8405022687560676,0.0,0,False
M00,8,4,4,0.9444577543668362,0.0,0,False
M00,1,5,5,0.9910384802793,0.0,0,False
M00,2,5,5,0.9393580232717585,0.0,0,False
M00,3,5,5,0.9532190155723237,0.0,0,False
M00,4,5,5,0.9183462002912388,0.0,0,False
M00,5,5,5,1.0,1.0,525846,True
M00,6,5,5,0.9946656744236291,0.0,0,False
M00,7,5,5,0.9785938206262761,0.0,0,False
M00,8,5,5,0.9958418189209461,0.0,0,False
M00,1,6,6,0.9988415199487616,0.0,0,False
M00,2,6,6,0.9662706616021988,0.0,0,False
M00,3,6,6,0.919929761640983,0.0,0,False
M00,4,6,6,0.8865145568901598,0.0,0,False
M00,5,6,6,0.9946656744236291,0.0,0,False
M00,6,6,6,0.9999999999999999,1.0,872644,True
M00,7,6,6,0.9943244857667892,0.0,0,False
M00,8,6,6,0.988071506857852,0.0,0,False
M00,1,7,7,0.9969135065410458,0.0,0,False
M00,2,7,7,0.9853314104630226,0.0,0,False
M00,3,7,7,0.8742487691113175,0.0,0,False
M00,4,7,7,0.8405022687560676,0.0,0,False
M00,5,7,7,0.9785938206262761,0.0,0,False
M00,6,7,7,0.9943244857667892,0.0,0,False
M00,7,7,7,1.0,1.0,585514,True
M00,8,7,7,0.9678194599072973,0.0,0,False
M00,1,8,8,0.9811727676179803,0.0,0,False
M00,2,8,8,0.9207715129987459,0.0,0,False
M00,3,8,8,0.966282973077188,0.0,0,False
M00,4,8,8,0.9444577543668362,0.0,0,False
M00,5,8,8,0.9958418189209461,0.0,0,False
M00,6,8,8,0.988071506857852,0.0,0,False
M00,7,8,8,0.9678194599072973,0.0,0,False
M00,8,8,8,1.0,1.0,283711,True
