sample_id,condition,cluster,pixels,pseudoabsorbance_pixels,pseudoabsorbance_excluded_pixels,pseudoabsorbance_defined
KYOw02702,M00,1,6352,6352,0,True
KYOw02702,M00,2,0,0,0,False
KYOw02702,M00,3,702,702,0,True
KYOw02702,M00,4,0,0,0,False
KYOw02702,M00,5,2360,2360,0,True
KYOw02702,M00,6,46122,46122,0,True
KYOw02702,M00,7,6591,6591,0,True
KYOw02702,M00,8,687,687,0,True
KYOw02707,M00,1,6216,6216,0,True
KYOw02707,M00,2,23,23,0,True
KYOw02707,M00,3,1127,1127,0,True
KYOw02707,M00,4,21,21,0,True
KYOw02707,M00,5,789,789,0,True
KYOw02707,M00,6,65301,65301,0,True
KYOw02707,M00,7,38863,38863,0,True
KYOw02707,M00,8,2738,2738,0,True
KYOw02708,M00,1,60065,60065,0,True
KYOw02708,M00,2,1241,1241,0,True
KYOw02708,M00,3,378,378,0,True
KYOw02708,M00,4,2,2,0,True
KYOw02708,M00,5,2090,2090,0,True
KYOw02708,M00,6,20393,20393,0,True
KYOw02708,M00,7,17202,17202,0,True
KYOw02708,M00,8,3276,3276,0,True
KYOw02709,M00,1,0,0,0,False
KYOw02709,M00,2,144,144,0,True
KYOw02709,M00,3,1608,1608,0,True
KYOw02709,M00,4,3,3,0,True
KYOw02709,M00,5,608,608,0,True
KYOw02709,M00,6,32510,32510,0,True
KYOw02709,M00,7,1336,1336,0,True
KYOw02709,M00,8,3896,3896,0,True
KYOw02715,M00,1,54378,54378,0,True
KYOw02715,M00,2,0,0,0,False
KYOw02715,M00,3,1145,1145,0,True
KYOw02715,M00,4,17,17,0,True
KYOw02715,M00,5,9177,9177,0,True
KYOw02715,M00,6,309,309,0,True
KYOw02715,M00,7,3,3,0,True
KYOw02715,M00,8,95,95,0,True
KYOw02716,M00,1,126,126,0,True
KYOw02716,M00,2,10,10,0,True
KYOw02716,M00,3,1579,1579,0,True
KYOw02716,M00,4,0,0,0,False
KYOw02716,M00,5,937,937,0,True
KYOw02716,M00,6,58430,58430,0,True
KYOw02716,M00,7,692,692,0,True
KYOw02716,M00,8,1025,1025,0,True
KYOw02717,M00,1,62384,62384,0,True
KYOw02717,M00,2,21,21,0,True
KYOw02717,M00,3,1086,1086,0,True
KYOw02717,M00,4,25,25,0,True
KYOw02717,M00,5,6558,6558,0,True
KYOw02717,M00,6,8999,8999,0,True
KYOw02717,M00,7,1198,1198,0,True
KYOw02717,M00,8,1773,1773,0,True
KYOw02719,M00,1,64168,64168,0,True
KYOw02719,M00,2,0,0,0,False
KYOw02719,M00,3,680,680,0,True
KYOw02719,M00,4,0,0,0,False
KYOw02719,M00,5,3054,3054,0,True
KYOw02719,M00,6,7347,7347,0,True
KYOw02719,M00,7,487,487,0,True
KYOw02719,M00,8,1091,1091,0,True
KYOw02720,M00,1,103065,103065,0,True
KYOw02720,M00,2,16,16,0,True
KYOw02720,M00,3,572,572,0,True
KYOw02720,M00,4,1,1,0,True
KYOw02720,M00,5,11737,11737,0,True
KYOw02720,M00,6,6730,6730,0,True
KYOw02720,M00,7,8970,8970,0,True
KYOw02720,M00,8,83,83,0,True
KYOw02751,M00,1,28556,28556,0,True
KYOw02751,M00,2,0,0,0,False
KYOw02751,M00,3,621,621,0,True
KYOw02751,M00,4,998,998,0,True
KYOw02751,M00,5,35386,35386,0,True
KYOw02751,M00,6,1334,1334,0,True
KYOw02751,M00,7,48,48,0,True
KYOw02751,M00,8,4526,4526,0,True
KYOw02752,M00,1,33736,33736,0,True
KYOw02752,M00,2,8,8,0,True
KYOw02752,M00,3,1131,1131,0,True
KYOw02752,M00,4,0,0,0,False
KYOw02752,M00,5,11409,11409,0,True
KYOw02752,M00,6,60212,60212,0,True
KYOw02752,M00,7,7537,7536,1,True
KYOw02752,M00,8,3160,3160,0,True
KYOw02754,M00,1,25712,25712,0,True
KYOw02754,M00,2,0,0,0,False
KYOw02754,M00,3,1172,1172,0,True
KYOw02754,M00,4,0,0,0,False
KYOw02754,M00,5,13632,13632,0,True
KYOw02754,M00,6,5753,5753,0,True
KYOw02754,M00,7,64,64,0,True
KYOw02754,M00,8,909,909,0,True
KYOw02756,M00,1,63144,63144,0,True
KYOw02756,M00,2,31,31,0,True
KYOw02756,M00,3,2743,2743,0,True
KYOw02756,M00,4,14,14,0,True
KYOw02756,M00,5,13811,13811,0,True
KYOw02756,M00,6,12368,12368,0,True
KYOw02756,M00,7,7557,7557,0,True
KYOw02756,M00,8,1439,1439,0,True
KYOw02758,M00,1,2481,2481,0,True
KYOw02758,M00,2,1257,1257,0,True
KYOw02758,M00,3,1088,1088,0,True
KYOw02758,M00,4,1218,1218,0,True
KYOw02758,M00,5,1273,1273,0,True
KYOw02758,M00,6,46846,46846,0,True
KYOw02758,M00,7,12878,12878,0,True
KYOw02758,M00,8,5238,5238,0,True
KYOw02759,M00,1,34419,34419,0,True
KYOw02759,M00,2,4800,4800,0,True
KYOw02759,M00,3,1206,1206,0,True
KYOw02759,M00,4,0,0,0,False
KYOw02759,M00,5,1974,1974,0,True
KYOw02759,M00,6,17890,17890,0,True
KYOw02759,M00,7,11921,11921,0,True
KYOw02759,M00,8,2256,2256,0,True
KYOw02760,M00,1,5472,5472,0,True
KYOw02760,M00,2,30,30,0,True
KYOw02760,M00,3,400,400,0,True
KYOw02760,M00,4,0,0,0,False
KYOw02760,M00,5,616,616,0,True
KYOw02760,M00,6,17803,17803,0,True
KYOw02760,M00,7,25259,25259,0,True
KYOw02760,M00,8,548,547,1,True
KYOw02762,M00,1,10,10,0,True
KYOw02762,M00,2,10517,10517,0,True
KYOw02762,M00,3,1757,1757,0,True
KYOw02762,M00,4,38,38,0,True
KYOw02762,M00,5,88,88,0,True
KYOw02762,M00,6,21518,21518,0,True
KYOw02762,M00,7,11981,11978,3,True
KYOw02762,M00,8,21969,21969,0,True
KYOw02763,M00,1,46293,46293,0,True
KYOw02763,M00,2,8,8,0,True
KYOw02763,M00,3,708,708,0,True
