condition,contrast,cluster,kind,wavelength_nm,difference,aggregation
M11,M11-M00,1,reflectance,913.1,-0.0007247437581582306,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,918.5607450980392,-0.0016052714131666868,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,924.0214901960785,-0.002113076056110774,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,929.4822352941177,-0.0024691415277913187,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,934.9429803921569,-0.002717216955572699,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,940.4037254901962,-0.002884734872743322,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,945.8644705882353,-0.003009758151779285,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,951.3252156862745,-0.003080236957511029,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,956.7859607843137,-0.0031483812520020082,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,962.246705882353,-0.0031313574084436135,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,967.7074509803922,-0.0031647293963659173,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,973.1681960784314,-0.0032118552256129584,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,978.6289411764706,-0.0032315692242876892,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,984.0896862745099,-0.003233618545409822,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,989.550431372549,-0.0032688306036970927,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,995.0111764705882,-0.003283122505129521,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1000.4719215686275,-0.0032740328564597743,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1005.9326666666667,-0.0032893964739368897,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1011.3934117647059,-0.0032758706083305666,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1016.8541568627452,-0.003267255665764912,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1022.3149019607844,-0.003281805029887952,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1027.7756470588236,-0.0032697411949890176,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1033.2363921568628,-0.003297372630275408,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1038.697137254902,-0.0032830577864066957,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1044.1578823529412,-0.0033249749855807087,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1049.6186274509805,-0.0033321224725063603,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1055.0793725490196,-0.003317474508821361,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1060.5401176470589,-0.003325470803778874,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1066.0008627450982,-0.0033650664689528487,difference of equal-sample representative means; not paired
