contrast,cluster,kind,wavelength_nm,difference,aggregation
B0-M00,1,reflectance,913.1,-0.010924084627067399,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,918.5607450980392,-0.00796507804227653,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,924.0214901960785,-0.007267243338384688,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,929.4822352941177,-0.005823299657013115,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,934.9429803921569,-0.004756077065264597,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,940.4037254901962,-0.004271149013247322,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,945.8644705882353,-0.003337065188221633,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,951.3252156862745,-0.0025398729747659887,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,956.7859607843137,-0.0017137493143219995,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,962.246705882353,-0.0008719734678223068,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,967.7074509803922,-0.00036573961642927255,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,973.1681960784314,5.971024707618344e-05,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,978.6289411764706,0.000546095249000178,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,984.0896862745099,0.0010539843979507912,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,989.550431372549,0.00151417402691445,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,995.0111764705882,0.0018352466872795237,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1000.4719215686275,0.0021219241765415564,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1005.9326666666667,0.002470436422221556,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1011.3934117647059,0.0027851048062716988,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1016.8541568627452,0.003052632165614133,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1022.3149019607844,0.0033164591418781697,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1027.7756470588236,0.003606535122756327,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1033.2363921568628,0.0038849946364278853,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1038.697137254902,0.004259363691112683,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1044.1578823529412,0.004519205992716158,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1049.6186274509805,0.0048009090748102334,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1055.0793725490196,0.005137117106631672,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1060.5401176470589,0.005472862904904008,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1066.0008627450982,0.005763054423631231,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1071.4616078431372,0.006117628576499556,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1076.9223529411765,0.006494496659338211,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1082.3830980392158,0.006803697549404131,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1087.843843137255,0.006989850246193141,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1093.3045882352942,0.007172931677490446,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1098.7653333333333,0.007435086708023286,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1104.2260784313726,0.007741277854303119,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1109.6868235294119,0.007978733855334874,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1115.1475686274512,0.008318694901840451,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1120.6083137254902,0.00847104202302107,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1126.0690588235295,0.008578653126745439,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1131.5298039215686,0.00860732409360876,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1136.990549019608,0.008551946953930356,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1142.4512941176472,0.008379809666955507,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1147.9120392156863,0.008017737245239465,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1153.3727843137256,0.007661487395247191,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1158.8335294117649,0.007165495727706084,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1164.294274509804,0.0067348997013548795,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1169.7550196078432,0.006405855898922286,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1175.2157647058825,0.006071583543235226,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1180.6765098039216,0.005673450762717969,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1186.137254901961,0.0052728327589299795,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1191.598,0.004945119708846923,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1197.0587450980393,0.004820877539508328,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1202.5194901960786,0.004836900866975524,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1207.9802352941178,0.004948462555787958,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1213.440980392157,0.005019897749140023,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1218.9017254901962,0.005102650870650427,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1224.3624705882353,0.005321765414922464,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1229.8232156862746,0.005602448141232119,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1235.2839607843139,0.005913866189877215,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1240.7447058823532,0.006202956201620924,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1246.2054509803922,0.00654592466295445,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1251.6661960784315,0.006848852344868761,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1257.1269411764706,0.007093574944590397,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1262.58768627451,0.007281366641822995,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1268.0484313725492,0.007400930129271122,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1273.5091764705883,0.007663760277074938,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1278.9699215686276,0.007793064530441374,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1284.4306666666666,0.008066078132999754,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1289.891411764706,0.008367478546324358,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1295.3521568627452,0.00869226625421271,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1300.8129019607845,0.008796312919726823,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1306.2736470588236,0.008571580987360994,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1311.734392156863,0.009053324614486491,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1317.195137254902,0.008861233062601337,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1322.6558823529413,0.008663322934409301,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1328.1166274509806,0.00828595869713733,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1333.5773725490199,0.007733091585674701,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1339.038117647059,0.007058813466127911,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1344.4988627450982,0.006283060321828904,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1349.9596078431373,0.005376447505537896,difference of equal-sample representative means; not paired
