condition,original_cluster,display_cluster,snv_cosine,best_other_target_cosine,assigned_minus_best_other,overlap_pixels,common_pixels,condition_overlap_pixels,condition_overlap_fraction
B0,1,7,0.9999339047127264,0.9971342179996743,0.0027996867130520853,468032,3902250,2076141,0.5320369017874303
B0,2,4,0.9936496189169324,0.9723805111087857,0.021269107808146726,121514,3902250,2076141,0.5320369017874303
B0,3,5,0.9978714122102137,0.9976779261960683,0.00019348601414537203,83982,3902250,2076141,0.5320369017874303
B0,4,8,0.9889005797851442,0.9996278805244454,-0.010727300739301171,57222,3902250,2076141,0.5320369017874303
B0,5,1,0.9998022923147017,0.9975928826280864,0.0022094096866153157,928324,3902250,2076141,0.5320369017874303
B0,6,2,0.9944532509016389,0.9847081529796369,0.009745097922002066,73632,3902250,2076141,0.5320369017874303
B0,7,3,0.9682443940569895,0.9961107208149514,-0.027866326757961968,20185,3902250,2076141,0.5320369017874303
B0,8,6,0.9993380773616567,0.9993892575189676,-5.1180157310870555e-05,323250,3902250,2076141,0.5320369017874303
B1,1,1,0.9999438523691415,0.9993388770758973,0.0006049752932442143,716274,3902250,1357051,0.3477611634313537
B1,2,6,0.9994628666338418,0.9997217123510815,-0.0002588457172397751,211856,3902250,1357051,0.3477611634313537
B1,3,4,0.9498926258877354,0.9241458427849127,0.025746783102822635,139934,3902250,1357051,0.3477611634313537
B1,4,5,0.9954345417963983,0.9998407474383582,-0.004406205641959815,130034,3902250,1357051,0.3477611634313537
B1,5,3,0.9580790281386574,0.9716935663827784,-0.013614538244120955,18851,3902250,1357051,0.3477611634313537
B1,6,7,0.9964174282351806,0.9999123686015983,-0.0034949403664176204,58408,3902250,1357051,0.3477611634313537
B1,7,2,0.9852667708194376,0.9764744021215619,0.008792368697875697,78719,3902250,1357051,0.3477611634313537
B1,8,8,0.9906656526709279,0.9997277782159804,-0.00906212554505248,2975,3902250,1357051,0.3477611634313537
A0,1,6,0.9999141097692813,0.9997505209120868,0.00016358885719447436,540678,3902250,1759527,0.45090063424947147
A0,2,2,0.9872872724473498,0.9861856792582712,0.0011015931890786534,62753,3902250,1759527,0.45090063424947147
A0,3,5,0.9958486076664652,0.9956596602842314,0.00018894738223385055,165425,3902250,1759527,0.45090063424947147
A0,4,4,0.9862858633491315,0.9539455685252296,0.03234029482390188,89911,3902250,1759527,0.45090063424947147
A0,5,1,0.9995369796388305,0.9992063972157019,0.0003305824231285559,517907,3902250,1759527,0.45090063424947147
A0,6,3,0.9776376641017614,0.9919138246403005,-0.014276160538539084,40809,3902250,1759527,0.45090063424947147
A0,7,7,0.9999634210336616,0.999826212123729,0.00013720890993262902,294463,3902250,1759527,0.45090063424947147
A0,8,8,0.9996987900123855,0.9986527667800464,0.001046023232339044,47581,3902250,1759527,0.45090063424947147
M00,1,1,1.0,0.9988415199487619,0.0011584800512380866,1317472,3902250,3902250,1.0
M00,2,2,1.0,0.985331410463022,0.014668589536978027,88159,3902250,3902250,1.0
M00,3,3,1.0000000000000002,0.9829652303567792,0.017034769643221037,88912,3902250,3902250,1.0
M00,4,4,1.0000000000000002,0.9829652303567792,0.017034769643221037,139992,3902250,3902250,1.0
M00,5,5,1.0000000000000004,0.9958418189209461,0.004158181079054302,525846,3902250,3902250,1.0
M00,6,6,1.0,0.9988415199487619,0.0011584800512380866,872644,3902250,3902250,1.0
M00,7,7,1.0,0.9969135065410459,0.003086493458954065,585514,3902250,3902250,1.0
M00,8,8,1.0,0.9958418189209461,0.004158181079053858,283711,3902250,3902250,1.0
M11,1,1,0.9999980946471745,0.9991326110006314,0.0008654836465430416,1228042,3902250,3583628,0.9183491575373182
M11,2,2,0.9996127683851842,0.9863078310875312,0.01330493729765303,86232,3902250,3583628,0.9183491575373182
M11,3,3,0.9999858513942566,0.9837391525079114,0.016246698886345112,85002,3902250,3583628,0.9183491575373182
M11,4,4,0.9994129184494501,0.98304422838074,0.016368690068710112,139478,3902250,3583628,0.9183491575373182
M11,5,5,0.9999534415282936,0.996192394745108,0.003761046783185562,504116,3902250,3583628,0.9183491575373182
M11,6,7,0.9999661026135738,0.9969481361765612,0.003017966437012576,459045,3902250,3583628,0.9183491575373182
M11,7,6,0.9999579807870549,0.9987854174427842,0.0011725633442707384,815922,3902250,3583628,0.9183491575373182
M11,8,8,0.9999858977520194,0.9953518917710252,0.004634005980994171,265791,3902250,3583628,0.9183491575373182
