condition,reference_cluster,original_target_cluster,display_target_cluster,snv_cosine,pixel_count,assigned
B0,1,1,7,0.9975928826280864,309888,False
B0,2,1,7,0.9847081529796369,13674,False
B0,3,1,7,0.877370735264491,0,False
B0,4,1,7,0.8424530846641183,0,False
B0,5,1,7,0.9801882479841173,12,False
B0,6,1,7,0.9950416139773635,88752,False
B0,7,1,7,0.9999339047127264,468032,True
B0,8,1,7,0.9690195355945619,0,False
B0,1,2,4,0.8819345866343498,0,False
B0,2,2,4,0.7730991656411905,0,False
B0,3,2,4,0.9961107208149514,15092,False
B0,4,2,4,0.9936496189169324,121514,True
B0,5,2,4,0.9334703772099164,0,False
B0,6,2,4,0.8983326851238003,1,False
B0,7,2,4,0.8496204162422814,1,False
B0,8,2,4,0.9541372261828152,1546,False
B0,1,3,5,0.9840554123781167,234,False
B0,2,3,5,0.9249128974592424,12,False
B0,3,3,5,0.9647074368448225,185,False
B0,4,3,5,0.9385172595472979,3219,False
B0,5,3,5,0.9978714122102137,83982,True
B0,6,3,5,0.990183912201422,10032,False
B0,7,3,5,0.9705036297972114,1151,False
B0,8,3,5,0.9996278805244454,192289,False
B0,1,4,8,0.9467496929635812,1,False
B0,2,4,8,0.8603814922125177,1,False
B0,3,4,8,0.9936843211671536,53450,False
B0,4,4,8,0.9723805111087857,9701,False
B0,5,4,8,0.980379341246476,17956,False
B0,6,4,8,0.9576306256104963,4,False
B0,7,4,8,0.9224860139390962,0,False
B0,8,4,8,0.9889005797851442,57222,True
B0,1,5,1,0.9998022923147017,928324,True
B0,2,5,1,0.9736076803370739,755,False
B0,3,5,1,0.9073794217417839,0,False
B0,4,5,1,0.8728013653431317,2,False
B0,5,5,1,0.9913140552242985,69223,False
B0,6,5,1,0.9993892575189676,450604,False
B0,7,5,1,0.9971342179996743,50974,False
B0,8,5,1,0.9826765514065835,447,False
B0,1,6,2,0.9855445246576962,71,False
B0,2,6,2,0.9944532509016389,73632,True
B0,3,6,2,0.8231373685305103,0,False
B0,4,6,2,0.7866181252002257,0,False
B0,5,6,2,0.9545896168850424,0,False
B0,6,6,2,0.9793180204385963,1,False
B0,7,6,2,0.9950630662973414,62431,False
B0,8,6,2,0.9383696010702913,0,False
B0,1,7,3,0.7745392914117109,1,False
B0,2,7,3,0.6385284422742632,2,False
B0,3,7,3,0.9682443940569895,20185,True
B0,4,7,3,0.9650776708525035,5555,False
B0,5,7,3,0.8491527841123789,2,False
B0,6,7,3,0.7949214191365532,0,False
B0,7,7,3,0.7284592584692713,1,False
B0,8,7,3,0.8727499130574408,0,False
B0,1,8,6,0.9971966574598257,78953,False
B0,2,8,6,0.9575289905755078,83,False
B0,3,8,6,0.9331070404732209,0,False
