sample_id,condition,cluster,pixels,fraction,sample_pixels,valid_pixels,used_clusters,max_occupancy,single_cluster,cluster_counts
KYOw02702,B0,7,22959,0.3655076893686121,62814,62814,7,0.474145891043398,False,"[29783, 1, 17, 0, 1587, 7641, 22959, 826]"
KYOw02702,B0,4,0,0.0,62814,62814,7,0.474145891043398,False,"[29783, 1, 17, 0, 1587, 7641, 22959, 826]"
KYOw02702,B0,5,1587,0.025265068296876494,62814,62814,7,0.474145891043398,False,"[29783, 1, 17, 0, 1587, 7641, 22959, 826]"
KYOw02702,B0,8,826,0.013149934727926896,62814,62814,7,0.474145891043398,False,"[29783, 1, 17, 0, 1587, 7641, 22959, 826]"
KYOw02702,B0,1,29783,0.474145891043398,62814,62814,7,0.474145891043398,False,"[29783, 1, 17, 0, 1587, 7641, 22959, 826]"
KYOw02702,B0,2,1,1.592001783041997e-05,62814,62814,7,0.474145891043398,False,"[29783, 1, 17, 0, 1587, 7641, 22959, 826]"
KYOw02702,B0,3,17,0.0002706403031171395,62814,62814,7,0.474145891043398,False,"[29783, 1, 17, 0, 1587, 7641, 22959, 826]"
KYOw02702,B0,6,7641,0.12164485624223899,62814,62814,7,0.474145891043398,False,"[29783, 1, 17, 0, 1587, 7641, 22959, 826]"
KYOw02707,B0,7,63917,0.5554232781244026,115078,115078,8,0.5554232781244026,False,"[42466, 12, 165, 169, 1967, 5270, 63917, 1112]"
KYOw02707,B0,4,169,0.0014685691444064027,115078,115078,8,0.5554232781244026,False,"[42466, 12, 165, 169, 1967, 5270, 63917, 1112]"
KYOw02707,B0,5,1967,0.017092754479570378,115078,115078,8,0.5554232781244026,False,"[42466, 12, 165, 169, 1967, 5270, 63917, 1112]"
KYOw02707,B0,8,1112,0.00966301117502911,115078,115078,8,0.5554232781244026,False,"[42466, 12, 165, 169, 1967, 5270, 63917, 1112]"
KYOw02707,B0,1,42466,0.36901927388380057,115078,115078,8,0.5554232781244026,False,"[42466, 12, 165, 169, 1967, 5270, 63917, 1112]"
KYOw02707,B0,2,12,0.00010427709901110551,115078,115078,8,0.5554232781244026,False,"[42466, 12, 165, 169, 1967, 5270, 63917, 1112]"
KYOw02707,B0,3,165,0.0014338101114027009,115078,115078,8,0.5554232781244026,False,"[42466, 12, 165, 169, 1967, 5270, 63917, 1112]"
KYOw02707,B0,6,5270,0.04579502598237717,115078,115078,8,0.5554232781244026,False,"[42466, 12, 165, 169, 1967, 5270, 63917, 1112]"
KYOw02708,B0,7,60474,0.5778856536737794,104647,104647,8,0.5778856536737794,False,"[34369, 640, 17, 34, 3428, 5088, 60474, 597]"
KYOw02708,B0,4,34,0.00032490181276099647,104647,104647,8,0.5778856536737794,False,"[34369, 640, 17, 34, 3428, 5088, 60474, 597]"
KYOw02708,B0,5,3428,0.032757747474844,104647,104647,8,0.5778856536737794,False,"[34369, 640, 17, 34, 3428, 5088, 60474, 597]"
KYOw02708,B0,8,597,0.005704893594656321,104647,104647,8,0.5778856536737794,False,"[34369, 640, 17, 34, 3428, 5088, 60474, 597]"
KYOw02708,B0,1,34369,0.32842795302302025,104647,104647,8,0.5778856536737794,False,"[34369, 640, 17, 34, 3428, 5088, 60474, 597]"
KYOw02708,B0,2,640,0.0061157988284422865,104647,104647,8,0.5778856536737794,False,"[34369, 640, 17, 34, 3428, 5088, 60474, 597]"
KYOw02708,B0,3,17,0.00016245090638049823,104647,104647,8,0.5778856536737794,False,"[34369, 640, 17, 34, 3428, 5088, 60474, 597]"
KYOw02708,B0,6,5088,0.04862060068611618,104647,104647,8,0.5778856536737794,False,"[34369, 640, 17, 34, 3428, 5088, 60474, 597]"
KYOw02709,B0,7,3022,0.07535220047375639,40105,40105,8,0.43176661264181526,False,"[17316, 44, 498, 281, 3548, 13798, 3022, 1598]"
KYOw02709,B0,4,281,0.007006607654905872,40105,40105,8,0.43176661264181526,False,"[17316, 44, 498, 281, 3548, 13798, 3022, 1598]"
KYOw02709,B0,5,3548,0.08846777209824211,40105,40105,8,0.43176661264181526,False,"[17316, 44, 498, 281, 3548, 13798, 3022, 1598]"
KYOw02709,B0,8,1598,0.03984540580974941,40105,40105,8,0.43176661264181526,False,"[17316, 44, 498, 281, 3548, 13798, 3022, 1598]"
KYOw02709,B0,1,17316,0.43176661264181526,40105,40105,8,0.43176661264181526,False,"[17316, 44, 498, 281, 3548, 13798, 3022, 1598]"
KYOw02709,B0,2,44,0.0010971200598429123,40105,40105,8,0.43176661264181526,False,"[17316, 44, 498, 281, 3548, 13798, 3022, 1598]"
KYOw02709,B0,3,498,0.012417404313676599,40105,40105,8,0.43176661264181526,False,"[17316, 44, 498, 281, 3548, 13798, 3022, 1598]"
KYOw02709,B0,6,13798,0.34404687694801145,40105,40105,8,0.43176661264181526,False,"[17316, 44, 498, 281, 3548, 13798, 3022, 1598]"
KYOw02715,B0,7,7956,0.12216694306246545,65124,65124,7,0.728487193661323,False,"[47442, 0, 148, 44, 1302, 6930, 7956, 1302]"
KYOw02715,B0,4,44,0.0006756341748049874,65124,65124,7,0.728487193661323,False,"[47442, 0, 148, 44, 1302, 6930, 7956, 1302]"
KYOw02715,B0,5,1302,0.019992629445365763,65124,65124,7,0.728487193661323,False,"[47442, 0, 148, 44, 1302, 6930, 7956, 1302]"
KYOw02715,B0,8,1302,0.019992629445365763,65124,65124,7,0.728487193661323,False,"[47442, 0, 148, 44, 1302, 6930, 7956, 1302]"
