condition,cluster,pixels,pc1,pc2
B0,1,153324,0.03644672841971623,-0.009957462109834687
B0,2,14365,0.22296234828184364,0.037264909769198634
B0,3,3000,-0.6565079813210644,-0.05402658935616841
B0,4,10335,-0.4092105611037277,0.10580647797848582
B0,5,31799,-0.13728428873443094,0.011961143982594121
B0,6,84922,-0.0331529180181143,-0.019744217762479085
B0,7,88775,0.09907092195032127,0.018313999507865632
B0,8,14888,-0.28253648059258013,-0.01810061479939482
B1,1,70011,0.8002778063826947,-0.27409120905518686
B1,2,114394,1.6838494964643593,0.3038291907085185
B1,3,41376,-1.270938444119134,-0.7897776234967019
B1,4,66752,-3.2798355776773747,0.47039385663375816
B1,5,36354,0.09865898849770412,-0.5900530118736856
B1,6,30575,0.6355597033465581,-0.1623379626219524
B1,7,19782,0.3476900614895241,0.6842026472326694
B1,8,22164,-0.31717355793250895,-0.06373096213747804
A0,1,90412,0.5239990194035662,0.008581347116932618
A0,2,30442,0.548013310990103,-0.0995016205272954
A0,3,32851,-0.3803637420173182,0.22982420021051825
A0,4,12876,-0.3399751742824523,0.5937493012163265
A0,5,92180,-0.20695599477055315,-0.08978422140648967
A0,6,90609,-0.3103962249466617,-0.044512063712862544
A0,7,37568,-0.1980287187148718,-0.15095219497930495
A0,8,14470,0.5152637958823101,0.34820842737873076
M00,1,123322,-0.08138671350223377,-0.06669761890580982
M00,2,8972,-0.2804278254826319,0.19429631784186155
M00,3,10551,0.5350214893291025,-0.14307267685737696
M00,4,9767,0.5922619297406676,0.32839683093952815
M00,5,48297,0.06289022950313744,-0.17856227504931255
M00,6,101668,0.0006131470792236437,0.01304216461747022
M00,7,65804,-0.14771217181687904,0.13415529886930097
M00,8,33027,0.23445791727188545,0.09853335996890655
M11,1,122106,-0.087995762139084,-0.06749860558103266
M11,2,9134,-0.27536587980972393,0.19135247773907565
M11,3,10324,0.5400595573281014,-0.13155750200773617
M11,4,9961,0.5769524737242386,0.34991416837005274
M11,5,53415,0.06550371423797043,-0.1774152663101767
M11,6,109816,-0.006589162065268126,0.019210661213245547
M11,7,53411,-0.1625899169024797,0.16361600829497597
M11,8,33241,0.23604008887612338,0.0900989645354893
