component,explained_variance,explained_variance_ratio,cumulative_ratio,singular_value,condition
PC1,0.0177599852992354,0.8103446387487927,0.8103446387487927,84.43330159960693,B0
PC2,0.0016471625614567,0.0751559941258304,0.8855006328746231,25.71347083352717,B0
PC1,4.5287404,0.81035537,0.81035537,1348.2834,B1
PC2,0.42005348,0.07516275,0.88551813,410.62442,B1
PC1,0.1499654960357201,0.6457376056165892,0.6457376056165892,245.35117661672285,A0
PC2,0.0321011245574121,0.1382244840130811,0.7839620896296704,113.51482768879632,A0
PC1,0.0640968112778358,0.4229289866276901,0.4229289866276901,160.4023339125782,A1
PC2,0.0330538698231945,0.2180988319036899,0.64102781853138,115.18704234469708,A1
PC1,0.0339867937025207,0.3522495548619719,0.3522495548619719,116.80127096803254,M00
PC2,0.0186613499377945,0.1934119548389195,0.5456615097008914,86.54938760315005,M00
PC1,0.0345046602294603,0.3449052618489359,0.3449052618489359,117.6877739985212,M11
PC2,0.0203023644137814,0.2029404801473481,0.5478457419962841,90.27464312996622,M11
