condition,pc1,pc2,pixels
B0,-1.1135649174102524,-0.024844296425037493,3
B0,-1.1135649174102524,0.016841604241086494,1
B0,-1.0897444026962548,-0.10821609775728558,1
B0,-1.0897444026962548,-0.06653019709116148,1
B0,-1.0897444026962548,-0.024844296425037493,1
B0,-1.0897444026962548,0.05852750490721048,1
B0,-1.0659238879822572,-0.14990199842340957,1
B0,-1.0659238879822572,-0.10821609775728558,2
B0,-1.0659238879822572,-0.06653019709116148,1
B0,-1.0659238879822572,0.10021340557333447,1
B0,-1.0421033732682596,-0.14990199842340957,2
B0,-1.0421033732682596,-0.10821609775728558,3
B0,-1.0421033732682596,-0.06653019709116148,1
B0,-1.0421033732682596,0.016841604241086494,1
B0,-1.0421033732682596,0.05852750490721048,1
B0,-1.018282858554262,-0.14990199842340957,4
B0,-1.018282858554262,-0.10821609775728558,1
B0,-1.018282858554262,-0.06653019709116148,1
B0,-1.018282858554262,-0.024844296425037493,1
B0,-1.018282858554262,0.10021340557333447,1
B0,-0.9944623438402644,-0.19158789908953355,1
B0,-0.9944623438402644,-0.14990199842340957,1
B0,-0.9944623438402644,-0.10821609775728558,4
B0,-0.9944623438402644,-0.06653019709116148,1
B0,-0.9944623438402644,-0.024844296425037493,1
B0,-0.9944623438402644,0.05852750490721048,2
B0,-0.9706418291262668,-0.14990199842340957,2
B0,-0.9706418291262668,-0.10821609775728558,2
B0,-0.9706418291262668,-0.024844296425037493,1
B0,-0.9706418291262668,0.016841604241086494,1
B0,-0.9706418291262668,0.05852750490721048,1
B0,-0.9468213144122692,-0.19158789908953355,2
B0,-0.9468213144122692,-0.14990199842340957,3
B0,-0.9468213144122692,-0.10821609775728558,3
B0,-0.9468213144122692,-0.06653019709116148,7
B0,-0.9468213144122692,-0.024844296425037493,2
B0,-0.9468213144122692,0.016841604241086494,1
B0,-0.9468213144122692,0.05852750490721048,1
B0,-0.9468213144122692,0.10021340557333447,1
B0,-0.9230007996982716,-0.19158789908953355,1
B0,-0.9230007996982716,-0.14990199842340957,3
B0,-0.9230007996982716,-0.10821609775728558,1
B0,-0.9230007996982716,-0.06653019709116148,3
B0,-0.9230007996982716,-0.024844296425037493,1
B0,-0.9230007996982716,0.016841604241086494,2
B0,-0.9230007996982716,0.05852750490721048,2
B0,-0.899180284984274,-0.23327379975565754,1
B0,-0.899180284984274,-0.19158789908953355,2
B0,-0.899180284984274,-0.14990199842340957,2
B0,-0.899180284984274,-0.10821609775728558,3
B0,-0.899180284984274,-0.06653019709116148,3
B0,-0.899180284984274,-0.024844296425037493,4
B0,-0.899180284984274,0.016841604241086494,1
B0,-0.899180284984274,0.05852750490721048,1
B0,-0.899180284984274,0.14189930623945846,1
B0,-0.8753597702702763,-0.19158789908953355,2
B0,-0.8753597702702763,-0.14990199842340957,6
B0,-0.8753597702702763,-0.10821609775728558,5
B0,-0.8753597702702763,-0.06653019709116148,3
B0,-0.8753597702702763,0.016841604241086494,4
B0,-0.8753597702702763,0.10021340557333447,1
B0,-0.8753597702702763,0.18358520690558255,1
B0,-0.8515392555562787,-0.19158789908953355,1
B0,-0.8515392555562787,-0.14990199842340957,5
B0,-0.8515392555562787,-0.10821609775728558,2
B0,-0.8515392555562787,-0.06653019709116148,5
B0,-0.8515392555562787,-0.024844296425037493,1
B0,-0.8515392555562787,0.016841604241086494,2
B0,-0.8515392555562787,0.10021340557333447,2
B0,-0.8277187408422811,-0.23327379975565754,1
B0,-0.8277187408422811,-0.19158789908953355,3
B0,-0.8277187408422811,-0.14990199842340957,3
B0,-0.8277187408422811,-0.10821609775728558,6
B0,-0.8277187408422811,-0.06653019709116148,3
B0,-0.8277187408422811,-0.024844296425037493,4
B0,-0.8277187408422811,0.016841604241086494,1
B0,-0.8277187408422811,0.05852750490721048,2
B0,-0.8038982261282835,-0.14990199842340957,4
B0,-0.8038982261282835,-0.10821609775728558,6
B0,-0.8038982261282835,-0.06653019709116148,7
B0,-0.8038982261282835,-0.024844296425037493,7
B0,-0.8038982261282835,0.016841604241086494,5
B0,-0.8038982261282835,0.05852750490721048,3
B0,-0.8038982261282835,0.10021340557333447,1
B0,-0.780077711414286,-0.19158789908953355,1
B0,-0.780077711414286,-0.14990199842340957,10
