sample_id,condition,cluster,pixels,pseudoabsorbance_pixels,pseudoabsorbance_excluded_pixels,pseudoabsorbance_defined
KYOw02702,B0,7,22959,22959,0,True
KYOw02702,B0,4,0,0,0,False
KYOw02702,B0,5,1587,1587,0,True
KYOw02702,B0,8,826,826,0,True
KYOw02702,B0,1,29783,29783,0,True
KYOw02702,B0,2,1,1,0,True
KYOw02702,B0,3,17,17,0,True
KYOw02702,B0,6,7641,7641,0,True
KYOw02707,B0,7,63917,63917,0,True
KYOw02707,B0,4,169,169,0,True
KYOw02707,B0,5,1967,1967,0,True
KYOw02707,B0,8,1112,1112,0,True
KYOw02707,B0,1,42466,42466,0,True
KYOw02707,B0,2,12,12,0,True
KYOw02707,B0,3,165,165,0,True
KYOw02707,B0,6,5270,5270,0,True
KYOw02708,B0,7,60474,60474,0,True
KYOw02708,B0,4,34,34,0,True
KYOw02708,B0,5,3428,3428,0,True
KYOw02708,B0,8,597,597,0,True
KYOw02708,B0,1,34369,34369,0,True
KYOw02708,B0,2,640,640,0,True
KYOw02708,B0,3,17,17,0,True
KYOw02708,B0,6,5088,5088,0,True
KYOw02709,B0,7,3022,3022,0,True
KYOw02709,B0,4,281,281,0,True
KYOw02709,B0,5,3548,3548,0,True
KYOw02709,B0,8,1598,1598,0,True
KYOw02709,B0,1,17316,17316,0,True
KYOw02709,B0,2,44,44,0,True
KYOw02709,B0,3,498,498,0,True
KYOw02709,B0,6,13798,13798,0,True
KYOw02715,B0,7,7956,7956,0,True
KYOw02715,B0,4,44,44,0,True
KYOw02715,B0,5,1302,1302,0,True
KYOw02715,B0,8,1302,1302,0,True
KYOw02715,B0,1,47442,47442,0,True
KYOw02715,B0,2,0,0,0,False
KYOw02715,B0,3,148,148,0,True
KYOw02715,B0,6,6930,6930,0,True
KYOw02716,B0,7,926,926,0,True
KYOw02716,B0,4,7,7,0,True
KYOw02716,B0,5,1836,1836,0,True
KYOw02716,B0,8,1553,1553,0,True
KYOw02716,B0,1,36605,36605,0,True
KYOw02716,B0,2,45,45,0,True
KYOw02716,B0,3,219,219,0,True
KYOw02716,B0,6,21608,21608,0,True
KYOw02717,B0,7,19227,19227,0,True
KYOw02717,B0,4,22,22,0,True
KYOw02717,B0,5,3068,3068,0,True
KYOw02717,B0,8,1428,1428,0,True
KYOw02717,B0,1,47227,47227,0,True
KYOw02717,B0,2,28,28,0,True
KYOw02717,B0,3,126,126,0,True
KYOw02717,B0,6,10918,10918,0,True
KYOw02719,B0,7,18182,18182,0,True
KYOw02719,B0,4,57,57,0,True
KYOw02719,B0,5,1394,1394,0,True
KYOw02719,B0,8,983,983,0,True
KYOw02719,B0,1,50752,50752,0,True
KYOw02719,B0,2,1,1,0,True
KYOw02719,B0,3,66,66,0,True
KYOw02719,B0,6,5392,5392,0,True
KYOw02720,B0,7,67985,67985,0,True
KYOw02720,B0,4,1,1,0,True
KYOw02720,B0,5,1298,1298,0,True
KYOw02720,B0,8,835,835,0,True
KYOw02720,B0,1,48968,48968,0,True
KYOw02720,B0,2,1040,1040,0,True
KYOw02720,B0,3,10,10,0,True
KYOw02720,B0,6,11037,11037,0,True
KYOw02751,B0,7,3018,3018,0,True
KYOw02751,B0,4,396,396,0,True
KYOw02751,B0,5,5216,5216,0,True
KYOw02751,B0,8,2697,2697,0,True
KYOw02751,B0,1,29503,29503,0,True
KYOw02751,B0,2,0,0,0,False
KYOw02751,B0,3,105,105,0,True
KYOw02751,B0,6,30534,30534,0,True
KYOw02752,B0,7,19235,19235,0,True
KYOw02752,B0,4,55,55,0,True
KYOw02752,B0,5,4040,4040,0,True
KYOw02752,B0,8,1424,1424,0,True
KYOw02752,B0,1,68550,68550,0,True
KYOw02752,B0,2,160,160,0,True
KYOw02752,B0,3,175,175,0,True
KYOw02752,B0,6,23554,23553,1,True
KYOw02754,B0,7,2195,2195,0,True
KYOw02754,B0,4,133,133,0,True
KYOw02754,B0,5,2512,2512,0,True
KYOw02754,B0,8,1224,1224,0,True
KYOw02754,B0,1,22860,22860,0,True
KYOw02754,B0,2,0,0,0,False
KYOw02754,B0,3,261,261,0,True
KYOw02754,B0,6,18057,18057,0,True
KYOw02756,B0,7,11932,11932,0,True
KYOw02756,B0,4,93,93,0,True
KYOw02756,B0,5,4367,4367,0,True
KYOw02756,B0,8,3125,3125,0,True
KYOw02756,B0,1,56354,56354,0,True
KYOw02756,B0,2,51,51,0,True
KYOw02756,B0,3,531,531,0,True
KYOw02756,B0,6,24654,24654,0,True
KYOw02758,B0,7,11083,11083,0,True
KYOw02758,B0,4,778,778,0,True
KYOw02758,B0,5,5446,5446,0,True
KYOw02758,B0,8,2025,2025,0,True
KYOw02758,B0,1,19706,19706,0,True
KYOw02758,B0,2,1133,1133,0,True
KYOw02758,B0,3,364,364,0,True
KYOw02758,B0,6,31744,31744,0,True
KYOw02759,B0,7,21328,21328,0,True
KYOw02759,B0,4,96,96,0,True
KYOw02759,B0,5,2301,2301,0,True
KYOw02759,B0,8,1309,1309,0,True
KYOw02759,B0,1,34877,34877,0,True
KYOw02759,B0,2,7111,7111,0,True
KYOw02759,B0,3,362,362,0,True
KYOw02759,B0,6,7082,7082,0,True
KYOw02760,B0,7,20226,20226,0,True
KYOw02760,B0,4,5,5,0,True
KYOw02760,B0,5,768,767,1,True
KYOw02760,B0,8,484,484,0,True
KYOw02760,B0,1,17131,17131,0,True
KYOw02760,B0,2,7818,7818,0,True
KYOw02760,B0,3,12,12,0,True
KYOw02760,B0,6,3684,3684,0,True
KYOw02762,B0,7,12823,12821,2,True
KYOw02762,B0,4,380,380,0,True
KYOw02762,B0,5,13217,13217,0,True
KYOw02762,B0,8,2837,2837,0,True
KYOw02762,B0,1,5697,5697,0,True
KYOw02762,B0,2,7764,7764,0,True
KYOw02762,B0,3,271,271,0,True
KYOw02762,B0,6,24889,24888,1,True
KYOw02763,B0,7,26109,26106,3,True
KYOw02763,B0,4,472,472,0,True
KYOw02763,B0,5,2670,2670,0,True
KYOw02763,B0,8,795,795,0,True
KYOw02763,B0,1,53222,53222,0,True
KYOw02763,B0,2,6739,6739,0,True
KYOw02763,B0,3,488,488,0,True
KYOw02763,B0,6,11967,11967,0,True
KYOw02764,B0,7,35107,35106,1,True
KYOw02764,B0,4,1,1,0,True
KYOw02764,B0,5,933,933,0,True
KYOw02764,B0,8,979,979,0,True
KYOw02764,B0,1,8241,8241,0,True
KYOw02764,B0,2,58187,58184,3,True
KYOw02764,B0,3,6,6,0,True
KYOw02764,B0,6,2262,2262,0,True
KYOw02766,B0,7,9167,9167,0,True
KYOw02766,B0,4,1613,1613,0,True
KYOw02766,B0,5,8851,8851,0,True
KYOw02766,B0,8,6048,6048,0,True
KYOw02766,B0,1,11299,11298,1,True
KYOw02766,B0,2,447,447,0,True
KYOw02766,B0,3,334,334,0,True
KYOw02766,B0,6,8417,8417,0,True
KYOw02767,B0,7,22608,22608,0,True
KYOw02767,B0,4,122,122,0,True
KYOw02767,B0,5,16345,16345,0,True
KYOw02767,B0,8,4848,4848,0,True
KYOw02767,B0,1,19496,19496,0,True
KYOw02767,B0,2,7,7,0,True
KYOw02767,B0,3,635,635,0,True
KYOw02767,B0,6,88082,88082,0,True
KYOw02768,B0,7,5380,5380,0,True
KYOw02768,B0,4,9006,9005,1,True
KYOw02768,B0,5,23958,23958,0,True
KYOw02768,B0,8,13991,13991,0,True
KYOw02768,B0,1,4437,4437,0,True
KYOw02768,B0,2,45,45,0,True
KYOw02768,B0,3,5342,5342,0,True
KYOw02768,B0,6,3733,3733,0,True
KYOw02769,B0,7,50533,50533,0,True
KYOw02769,B0,4,216,216,0,True
KYOw02769,B0,5,2970,2970,0,True
KYOw02769,B0,8,1961,1961,0,True
KYOw02769,B0,1,85916,85916,0,True
KYOw02769,B0,2,9515,9515,0,True
KYOw02769,B0,3,293,293,0,True
KYOw02769,B0,6,10330,10330,0,True
KYOw02770,B0,7,7635,7635,0,True
KYOw02770,B0,4,90,90,0,True
KYOw02770,B0,5,2110,2110,0,True
KYOw02770,B0,8,1030,1030,0,True
KYOw02770,B0,1,11731,11731,0,True
KYOw02770,B0,2,3308,3308,0,True
KYOw02770,B0,3,215,215,0,True
KYOw02770,B0,6,7284,7284,0,True
KYOw02771,B0,7,29407,29407,0,True
KYOw02771,B0,4,10,10,0,True
KYOw02771,B0,5,1230,1230,0,True
KYOw02771,B0,8,674,674,0,True
KYOw02771,B0,1,67871,67871,0,True
KYOw02771,B0,2,207,207,0,True
KYOw02771,B0,3,21,21,0,True
KYOw02771,B0,6,14676,14676,0,True
KYOw02772,B0,7,15658,15657,1,True
KYOw02772,B0,4,1527,1527,0,True
KYOw02772,B0,5,6334,6334,0,True
KYOw02772,B0,8,6089,6089,0,True
KYOw02772,B0,1,21304,21304,0,True
KYOw02772,B0,2,3776,3776,0,True
KYOw02772,B0,3,1131,1131,0,True
KYOw02772,B0,6,17392,17392,0,True
KYOw02773,B0,7,36692,36692,0,True
KYOw02773,B0,4,0,0,0,False
KYOw02773,B0,5,1237,1237,0,True
KYOw02773,B0,8,506,506,0,True
KYOw02773,B0,1,6237,6237,0,True
KYOw02773,B0,2,5608,5608,0,True
KYOw02773,B0,3,41,41,0,True
KYOw02773,B0,6,2297,2297,0,True
KYOw02774,B0,7,9949,9949,0,True
KYOw02774,B0,4,31,31,0,True
KYOw02774,B0,5,1105,1105,0,True
KYOw02774,B0,8,824,824,0,True
KYOw02774,B0,1,13931,13931,0,True
KYOw02774,B0,2,7772,7770,2,True
KYOw02774,B0,3,285,285,0,True
KYOw02774,B0,6,5030,5030,0,True
KYOw02775,B0,7,7675,7675,0,True
KYOw02775,B0,4,146,146,0,True
KYOw02775,B0,5,8217,8217,0,True
KYOw02775,B0,8,3561,3561,0,True
KYOw02775,B0,1,9900,9900,0,True
KYOw02775,B0,2,609,609,0,True
KYOw02775,B0,3,224,224,0,True
KYOw02775,B0,6,21373,21373,0,True
KYOw02776,B0,7,4157,4157,0,True
KYOw02776,B0,4,593,593,0,True
KYOw02776,B0,5,19038,19038,0,True
KYOw02776,B0,8,11519,11519,0,True
KYOw02776,B0,1,21966,21966,0,True
KYOw02776,B0,2,18,18,0,True
KYOw02776,B0,3,1643,1643,0,True
KYOw02776,B0,6,32541,32541,0,True
KYOw02777,B0,7,7995,7995,0,True
KYOw02777,B0,4,750,750,0,True
KYOw02777,B0,5,8869,8869,0,True
KYOw02777,B0,8,3833,3833,0,True
KYOw02777,B0,1,46923,46923,0,True
KYOw02777,B0,2,593,593,0,True
KYOw02777,B0,3,710,710,0,True
KYOw02777,B0,6,52014,52014,0,True
KYOw02780,B0,7,17312,17311,1,True
KYOw02780,B0,4,0,0,0,False
KYOw02780,B0,5,934,934,0,True
KYOw02780,B0,8,457,457,0,True
KYOw02780,B0,1,25358,25357,1,True
KYOw02780,B0,2,20,20,0,True
KYOw02780,B0,3,17,17,0,True
KYOw02780,B0,6,12366,12366,0,True
KYOw02783,B0,7,30309,30309,0,True
KYOw02783,B0,4,2,2,0,True
KYOw02783,B0,5,2610,2610,0,True
KYOw02783,B0,8,931,931,0,True
KYOw02783,B0,1,27185,27185,0,True
KYOw02783,B0,2,1757,1757,0,True
KYOw02783,B0,3,38,38,0,True
KYOw02783,B0,6,21386,21386,0,True
KYOw02784,B0,7,18898,18897,1,True
KYOw02784,B0,4,0,0,0,False
KYOw02784,B0,5,891,891,0,True
KYOw02784,B0,8,415,415,0,True
KYOw02784,B0,1,65924,65924,0,True
KYOw02784,B0,2,2133,2133,0,True
KYOw02784,B0,3,30,30,0,True
KYOw02784,B0,6,29258,29258,0,True
KYOw02787,B0,7,36090,36090,0,True
KYOw02787,B0,4,8,8,0,True
KYOw02787,B0,5,2199,2199,0,True
KYOw02787,B0,8,1196,1196,0,True
KYOw02787,B0,1,53950,53950,0,True
KYOw02787,B0,2,23,23,0,True
KYOw02787,B0,3,152,152,0,True
KYOw02787,B0,6,13066,13066,0,True
KYOw02788,B0,7,66,66,0,True
KYOw02788,B0,4,5343,5343,0,True
KYOw02788,B0,5,72188,72188,0,True
KYOw02788,B0,8,29415,29415,0,True
KYOw02788,B0,1,122,122,0,True
KYOw02788,B0,2,3,3,0,True
KYOw02788,B0,3,2420,2420,0,True
KYOw02788,B0,6,2737,2737,0,True
KYOw02789,B0,7,0,0,0,False
KYOw02789,B0,4,113455,113455,0,True
KYOw02789,B0,5,2096,2096,0,True
KYOw02789,B0,8,6022,6022,0,True
KYOw02789,B0,1,1,1,0,True
KYOw02789,B0,2,0,0,0,False
KYOw02789,B0,3,4371,4371,0,True
KYOw02789,B0,6,1,1,0,True
KYOw02790,B0,7,22,22,0,True
KYOw02790,B0,4,634,634,0,True
KYOw02790,B0,5,10716,10716,0,True
KYOw02790,B0,8,2332,2332,0,True
KYOw02790,B0,1,1231,1231,0,True
KYOw02790,B0,2,0,0,0,False
KYOw02790,B0,3,1698,1698,0,True
KYOw02790,B0,6,9616,9616,0,True
KYOw16662,B0,7,12473,12473,0,True
KYOw16662,B0,4,263,263,0,True
KYOw16662,B0,5,1492,1492,0,True
KYOw16662,B0,8,706,706,0,True
KYOw16662,B0,1,22804,22804,0,True
KYOw16662,B0,2,1120,1120,0,True
KYOw16662,B0,3,342,342,0,True
KYOw16662,B0,6,9725,9725,0,True
KYOw16666,B0,7,12918,12918,0,True
KYOw16666,B0,4,29,29,0,True
KYOw16666,B0,5,1679,1679,0,True
KYOw16666,B0,8,849,849,0,True
KYOw16666,B0,1,37226,37226,0,True
KYOw16666,B0,2,14,14,0,True
KYOw16666,B0,3,93,93,0,True
KYOw16666,B0,6,5530,5530,0,True
KYOw16700,B0,7,22562,22562,0,True
KYOw16700,B0,4,0,0,0,False
KYOw16700,B0,5,824,824,0,True
KYOw16700,B0,8,406,406,0,True
KYOw16700,B0,1,24603,24603,0,True
KYOw16700,B0,2,2904,2904,0,True
KYOw16700,B0,3,33,33,0,True
KYOw16700,B0,6,3706,3706,0,True
KYOw16702,B0,7,7135,7135,0,True
KYOw16702,B0,4,714,714,0,True
KYOw16702,B0,5,3113,3113,0,True
KYOw16702,B0,8,1834,1834,0,True
KYOw16702,B0,1,5703,5703,0,True
KYOw16702,B0,2,28,28,0,True
KYOw16702,B0,3,196,196,0,True
KYOw16702,B0,6,15216,15216,0,True
KYOw16711,B0,7,17619,17619,0,True
KYOw16711,B0,4,4,4,0,True
KYOw16711,B0,5,12266,12266,0,True
KYOw16711,B0,8,2737,2737,0,True
KYOw16711,B0,1,30296,30296,0,True
KYOw16711,B0,2,2671,2671,0,True
KYOw16711,B0,3,229,229,0,True
KYOw16711,B0,6,16190,16190,0,True
KYOw16714,B0,7,9817,9817,0,True
KYOw16714,B0,4,7,7,0,True
KYOw16714,B0,5,1183,1183,0,True
KYOw16714,B0,8,740,740,0,True
KYOw16714,B0,1,25124,25124,0,True
KYOw16714,B0,2,76,76,0,True
KYOw16714,B0,3,29,29,0,True
KYOw16714,B0,6,9151,9151,0,True
KYOw16716,B0,7,21095,21094,1,True
KYOw16716,B0,4,65,65,0,True
KYOw16716,B0,5,1604,1604,0,True
KYOw16716,B0,8,1114,1114,0,True
KYOw16716,B0,1,45051,45051,0,True
KYOw16716,B0,2,2438,2438,0,True
KYOw16716,B0,3,37,37,0,True
KYOw16716,B0,6,8652,8652,0,True
KYOw16719,B0,7,1253,1253,0,True
KYOw16719,B0,4,41,41,0,True
KYOw16719,B0,5,3203,3203,0,True
KYOw16719,B0,8,1868,1868,0,True
KYOw16719,B0,1,40147,40147,0,True
KYOw16719,B0,2,8,8,0,True
KYOw16719,B0,3,69,69,0,True
KYOw16719,B0,6,34908,34908,0,True
KYOw16737,B0,7,6832,6832,0,True
KYOw16737,B0,4,241,241,0,True
KYOw16737,B0,5,6794,6794,0,True
KYOw16737,B0,8,1966,1966,0,True
KYOw16737,B0,1,19673,19673,0,True
KYOw16737,B0,2,0,0,0,False
KYOw16737,B0,3,724,724,0,True
KYOw16737,B0,6,29463,29463,0,True
KYOw16744,B0,7,11335,11335,0,True
KYOw16744,B0,4,217,217,0,True
KYOw16744,B0,5,5163,5163,0,True
KYOw16744,B0,8,2836,2836,0,True
KYOw16744,B0,1,54300,54300,0,True
KYOw16744,B0,2,174,174,0,True
KYOw16744,B0,3,547,547,0,True
KYOw16744,B0,6,34291,34291,0,True
KYOw16750,B0,7,20062,20062,0,True
KYOw16750,B0,4,3,3,0,True
KYOw16750,B0,5,987,987,0,True
KYOw16750,B0,8,494,494,0,True
KYOw16750,B0,1,29551,29551,0,True
KYOw16750,B0,2,87,87,0,True
KYOw16750,B0,3,6,6,0,True
KYOw16750,B0,6,7549,7549,0,True
KYOw02702,B1,1,457,457,0,True
KYOw02702,B1,6,22094,22094,0,True
KYOw02702,B1,4,1103,1103,0,True
KYOw02702,B1,5,795,795,0,True
KYOw02702,B1,3,3726,3726,0,True
KYOw02702,B1,7,121,121,0,True
KYOw02702,B1,2,29758,29758,0,True
KYOw02702,B1,8,4760,4760,0,True
KYOw02707,B1,1,1183,1183,0,True
KYOw02707,B1,6,13189,13189,0,True
KYOw02707,B1,4,3238,3238,0,True
KYOw02707,B1,5,524,524,0,True
KYOw02707,B1,3,1851,1851,0,True
KYOw02707,B1,7,1084,1084,0,True
KYOw02707,B1,2,90697,90697,0,True
KYOw02707,B1,8,3312,3312,0,True
KYOw02708,B1,1,11422,11422,0,True
KYOw02708,B1,6,5675,5675,0,True
KYOw02708,B1,4,5967,5967,0,True
KYOw02708,B1,5,1995,1995,0,True
KYOw02708,B1,3,1359,1359,0,True
KYOw02708,B1,7,2670,2670,0,True
KYOw02708,B1,2,74670,74670,0,True
KYOw02708,B1,8,889,889,0,True
KYOw02709,B1,1,1,1,0,True
KYOw02709,B1,6,14673,14673,0,True
KYOw02709,B1,4,5157,5157,0,True
KYOw02709,B1,5,27,27,0,True
KYOw02709,B1,3,1943,1943,0,True
KYOw02709,B1,7,372,372,0,True
KYOw02709,B1,2,4389,4389,0,True
KYOw02709,B1,8,13543,13543,0,True
KYOw02715,B1,1,45643,45643,0,True
KYOw02715,B1,6,598,598,0,True
KYOw02715,B1,4,1031,1031,0,True
KYOw02715,B1,5,11137,11137,0,True
KYOw02715,B1,3,6285,6285,0,True
KYOw02715,B1,7,5,5,0,True
KYOw02715,B1,2,292,292,0,True
KYOw02715,B1,8,133,133,0,True
KYOw02716,B1,1,146,146,0,True
KYOw02716,B1,6,8885,8885,0,True
KYOw02716,B1,4,1915,1915,0,True
KYOw02716,B1,5,117,117,0,True
KYOw02716,B1,3,3254,3254,0,True
KYOw02716,B1,7,16907,16907,0,True
KYOw02716,B1,2,9193,9193,0,True
KYOw02716,B1,8,22382,22382,0,True
KYOw02717,B1,1,39741,39741,0,True
KYOw02717,B1,6,4449,4449,0,True
KYOw02717,B1,4,3918,3918,0,True
KYOw02717,B1,5,4323,4323,0,True
KYOw02717,B1,3,6263,6263,0,True
KYOw02717,B1,7,2518,2518,0,True
KYOw02717,B1,2,17566,17566,0,True
KYOw02717,B1,8,3266,3266,0,True
KYOw02719,B1,1,56123,56123,0,True
KYOw02719,B1,6,2168,2168,0,True
KYOw02719,B1,4,2681,2681,0,True
KYOw02719,B1,5,6035,6035,0,True
KYOw02719,B1,3,3765,3765,0,True
KYOw02719,B1,7,353,353,0,True
KYOw02719,B1,2,5513,5513,0,True
KYOw02719,B1,8,189,189,0,True
KYOw02720,B1,1,69029,69029,0,True
KYOw02720,B1,6,7375,7375,0,True
KYOw02720,B1,4,894,894,0,True
KYOw02720,B1,5,11398,11398,0,True
KYOw02720,B1,3,4935,4935,0,True
KYOw02720,B1,7,147,147,0,True
KYOw02720,B1,2,35513,35513,0,True
KYOw02720,B1,8,1883,1883,0,True
KYOw02751,B1,1,17058,17058,0,True
KYOw02751,B1,6,97,97,0,True
KYOw02751,B1,4,7495,7495,0,True
KYOw02751,B1,5,32231,32231,0,True
KYOw02751,B1,3,13479,13479,0,True
KYOw02751,B1,7,141,141,0,True
KYOw02751,B1,2,855,855,0,True
KYOw02751,B1,8,113,113,0,True
KYOw02752,B1,1,18616,18616,0,True
KYOw02752,B1,6,27447,27447,0,True
KYOw02752,B1,4,7295,7295,0,True
