band,wavelength_nm
band_000,913.1
band_001,918.5607450980392
band_002,924.0214901960785
band_003,929.4822352941177
band_004,934.9429803921569
band_005,940.4037254901962
band_006,945.8644705882353
band_007,951.3252156862745
band_008,956.7859607843137
band_009,962.246705882353
band_010,967.7074509803922
band_011,973.1681960784314
band_012,978.6289411764706
band_013,984.0896862745099
band_014,989.550431372549
band_015,995.0111764705882
band_016,1000.4719215686275
band_017,1005.9326666666667
band_018,1011.3934117647059
band_019,1016.8541568627452
band_020,1022.3149019607844
band_021,1027.7756470588236
band_022,1033.2363921568628
band_023,1038.697137254902
band_024,1044.1578823529412
band_025,1049.6186274509805
band_026,1055.0793725490196
band_027,1060.5401176470589
band_028,1066.0008627450982
band_029,1071.4616078431372
band_030,1076.9223529411765
band_031,1082.3830980392158
band_032,1087.843843137255
band_033,1093.3045882352942
band_034,1098.7653333333333
band_035,1104.2260784313726
band_036,1109.6868235294119
band_037,1115.1475686274512
band_038,1120.6083137254902
band_039,1126.0690588235295
band_040,1131.5298039215686
band_041,1136.990549019608
band_042,1142.4512941176472
band_043,1147.9120392156863
band_044,1153.3727843137256
band_045,1158.8335294117649
band_046,1164.294274509804
band_047,1169.7550196078432
band_048,1175.2157647058825
band_049,1180.6765098039216
band_050,1186.137254901961
band_051,1191.598
band_052,1197.0587450980393
band_053,1202.5194901960786
band_054,1207.9802352941178
band_055,1213.440980392157
band_056,1218.9017254901962
band_057,1224.3624705882353
band_058,1229.8232156862746
band_059,1235.2839607843139
band_060,1240.7447058823532
band_061,1246.2054509803922
band_062,1251.6661960784315
band_063,1257.1269411764706
band_064,1262.58768627451
band_065,1268.0484313725492
band_066,1273.5091764705883
band_067,1278.9699215686276
band_068,1284.4306666666666
band_069,1289.891411764706
band_070,1295.3521568627452
band_071,1300.8129019607845
band_072,1306.2736470588236
band_073,1311.734392156863
band_074,1317.195137254902
band_075,1322.6558823529413
band_076,1328.1166274509806
band_077,1333.5773725490199
band_078,1339.038117647059
band_079,1344.4988627450982
band_080,1349.9596078431373
band_081,1355.4203529411766
