feature_index,mean,pc1,pc2
0,0.9230939,0.16444789,0.075293064
1,1.1108485,0.15797204,0.00025367006
2,1.2155505,0.16197138,-0.0771723
3,1.2759472,0.1640825,-0.11602321
4,1.33191,0.16367903,-0.13746947
5,1.3907313,0.1619927,-0.15240565
6,1.43249,0.15893568,-0.15326998
7,1.4450486,0.15454337,-0.14744021
8,1.4524242,0.14861968,-0.13979785
9,1.4412947,0.14187154,-0.13180313
10,1.4244155,0.13463445,-0.12377268
11,1.4059372,0.12694243,-0.1150404
12,1.3903588,0.11964746,-0.10691821
13,1.3810807,0.113469236,-0.09892378
14,1.376183,0.10875732,-0.09216633
15,1.3809574,0.10524468,-0.085601054
16,1.3918753,0.102280304,-0.07974101
17,1.4079504,0.09983888,-0.07412115
18,1.4249063,0.097972125,-0.068646416
19,1.4428813,0.09647811,-0.06394434
20,1.4633327,0.09503984,-0.059486356
21,1.485378,0.09358824,-0.054283865
22,1.5066493,0.09239352,-0.049044948
23,1.5247726,0.09142264,-0.04362716
24,1.5426391,0.09015465,-0.037898466
25,1.559492,0.0887012,-0.03172626
26,1.5767056,0.08711172,-0.025182435
27,1.5941172,0.08550901,-0.018769624
28,1.6105301,0.0839729,-0.012562484
29,1.6286488,0.08239714,-0.00634083
30,1.6467136,0.080863856,-0.0006548213
31,1.6674795,0.07924624,0.003880786
32,1.6873081,0.07763651,0.008736572
33,1.7069521,0.07581404,0.013701748
34,1.7246553,0.073549904,0.019041393
35,1.735667,0.070800446,0.024862833
36,1.7358799,0.067428574,0.031574715
37,1.7230257,0.062452085,0.03854475
38,1.6950772,0.055161063,0.046402607
39,1.6491246,0.045811422,0.052963186
40,1.5924618,0.034958147,0.059600987
41,1.5341948,0.024077307,0.06507073
42,1.480193,0.014347632,0.0691192
43,1.4284347,0.0064879595,0.06885396
44,1.371547,-0.00040606238,0.06731808
45,1.3107045,-0.0071239155,0.06491191
46,1.2546334,-0.013525008,0.06286172
47,1.205778,-0.01974389,0.06154518
48,1.1621381,-0.025734637,0.06056427
49,1.1189954,-0.03152891,0.05951461
50,1.0726436,-0.037113562,0.05770847
51,1.0266025,-0.04213267,0.05527239
52,0.9984865,-0.045638397,0.05296756
53,0.984065,-0.04781201,0.050743703
54,0.9778633,-0.04911286,0.049568832
55,0.97620296,-0.049949292,0.048765086
56,0.9811034,-0.050695993,0.048524078
57,0.99582475,-0.05135289,0.049243446
58,1.0179348,-0.051523905,0.051400755
59,1.0459926,-0.051567294,0.054223426
60,1.0765516,-0.051469997,0.05781565
61,1.1061832,-0.051505838,0.06169315
62,1.1322887,-0.051671643,0.06529577
63,1.1543683,-0.051980004,0.06856801
64,1.1727659,-0.05235752,0.071776606
65,1.1879623,-0.052670877,0.07507467
66,1.2033938,-0.0532731,0.07738849
67,1.2235477,-0.053343,0.081332
68,1.2467701,-0.053500783,0.08517908
69,1.2702068,-0.053627674,0.08955039
70,1.2915447,-0.054055702,0.093234055
71,1.3064424,-0.05485467,0.09583331
72,1.3100173,-0.055796497,0.09750786
73,1.3030446,-0.0574205,0.097792484
74,1.2846493,-0.059473023,0.09615718
75,1.2557981,-0.06208368,0.092390716
76,1.213393,-0.064849444,0.08708901
77,1.1570802,-0.067863636,0.079943426
78,1.0865643,-0.071048915,0.070765994
79,1.0039126,-0.07427878,0.059991714
80,0.9164555,-0.07757914,0.04811259
81,0.8366768,-0.08073295,0.03628239
82,0.76559085,-0.08338042,0.02456765
83,0.69622463,-0.08508281,0.014101378
84,0.63448286,-0.08593862,0.0065412987
85,0.5833201,-0.086338334,0.0015161076
86,0.5374914,-0.08654383,-0.0032780482
87,0.48232424,-0.08634024,-0.010164805
88,0.3957194,-0.08463874,-0.019234875
89,0.2843161,-0.081523076,-0.03001133
90,0.15472472,-0.07691434,-0.040821355
91,0.015867932,-0.07085327,-0.04967747
92,-0.12152336,-0.06389574,-0.055594347
93,-0.24653147,-0.05681877,-0.058406115
94,-0.35082817,-0.050314497,-0.058648083
95,-0.43143028,-0.04476549,-0.057481766
96,-0.48607582,-0.040797375,-0.056156106
97,-0.52445024,-0.038103826,-0.05569862
98,-0.5517354,-0.03618419,-0.055376496
99,-0.57189,-0.034696955,-0.05526162
100,-0.5871912,-0.033595204,-0.05570349
101,-0.59891623,-0.032900322,-0.056505438
102,-0.60799867,-0.032427408,-0.057506625
103,-0.61284095,-0.032223113,-0.05872819
104,-0.61289066,-0.032287866,-0.05928497
105,-0.6077004,-0.03314859,-0.061220217
106,-0.5996611,-0.03418333,-0.06299628
107,-0.5889528,-0.03533413,-0.0644173
108,-0.57611793,-0.036636773,-0.065947935
109,-0.5621828,-0.038101953,-0.06762248
110,-0.5468507,-0.039799012,-0.069188595
111,-0.5314796,-0.041146763,-0.06988279
112,-0.51724684,-0.042717878,-0.07115879
113,-0.5063148,-0.043907933,-0.0718998
114,-0.49751076,-0.044879854,-0.072423704
115,-0.4896023,-0.045777913,-0.07285974
116,-0.48169953,-0.046515267,-0.07300448
117,-0.47293127,-0.047070954,-0.07226021
118,-0.46394593,-0.048162825,-0.0737007
119,-0.45396692,-0.048961855,-0.07400636
120,-0.4457919,-0.049652196,-0.07436468
121,-0.437804,-0.050367013,-0.074582115
122,-0.42976633,-0.051015314,-0.07466421
123,-0.421207,-0.051634192,-0.07453979
124,-0.4107167,-0.052394163,-0.074501924
125,-0.39628333,-0.053462368,-0.07453132
126,-0.37472308,-0.054851536,-0.07409335
127,-0.35022482,-0.0562033,-0.07312744
128,-0.32343587,-0.05749963,-0.07160076
129,-0.29663143,-0.05873763,-0.06983704
130,-0.27134493,-0.05986314,-0.06784535
131,-0.24889302,-0.06077572,-0.0655469
132,-0.23076342,-0.061370313,-0.063070305
133,-0.21515311,-0.061606158,-0.0600224
134,-0.20543475,-0.06148151,-0.05740546
135,-0.20700118,-0.060253456,-0.052744064
136,-0.21643409,-0.058899354,-0.047440484
137,-0.22982784,-0.05788495,-0.041825775
138,-0.24554645,-0.057208,-0.03614793
139,-0.26239258,-0.05665573,-0.030973291
140,-0.27460355,-0.056069702,-0.026695963
141,-0.2782655,-0.055701416,-0.02464035
142,-0.2814941,-0.055242356,-0.023750132
143,-0.2906248,-0.05465895,-0.023455177
144,-0.29908854,-0.05422736,-0.023689615
145,-0.30482623,-0.053937927,-0.024702314
146,-0.308913,-0.053615764,-0.026463985
147,-0.31159744,-0.053184174,-0.027934467
148,-0.31902793,-0.052255444,-0.029040843
149,-0.3270296,-0.05145782,-0.029431883
150,-0.33033273,-0.05095097,-0.029302884
151,-0.33135566,-0.050942536,-0.029474992
152,-0.33451486,-0.05098969,-0.029983403
153,-0.34037796,-0.05076538,-0.03054116
154,-0.34653163,-0.050358098,-0.031466234
155,-0.35330305,-0.05008378,-0.0337202
156,-0.36049005,-0.049411707,-0.03503183
157,-0.36935174,-0.04859674,-0.036159996
