stage,band_index,wavelength_nm,low_snr,sample_count,median_nonfinite_fraction,q90_nonfinite_fraction,max_nonfinite_fraction,median_negative_fraction,q90_negative_fraction,max_negative_fraction,median_above_one_fraction,q90_above_one_fraction,max_above_one_fraction,median_sample_q01,median_sample_median,median_sample_q99,q10_sample_median,q90_sample_median
reflectance,0,913.1,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41894835293293,0.6257575750350952,0.6881083250045776,0.5456919431686401,0.7043820261955261
reflectance,1,918.5607450980392,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45166935086250304,0.6635929346084595,0.7205657756328583,0.5815642654895783,0.7295910835266113
reflectance,2,924.0214901960785,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46037353545427323,0.6856498718261719,0.7401888358592987,0.5963750064373017,0.7522206544876099
reflectance,3,929.4822352941177,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46787436932325366,0.6982170343399048,0.7522086226940158,0.6099742472171784,0.7621652662754059
reflectance,4,934.9429803921569,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47455672800540927,0.7086015939712524,0.7613422882556916,0.6224918484687806,0.7712923407554627
reflectance,5,940.4037254901962,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48058766067028047,0.7184446752071381,0.7730392944812775,0.6331349909305573,0.7816071629524232
reflectance,6,945.8644705882353,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4848935866355896,0.7250545620918274,0.7809544837474823,0.6395481169223786,0.7863272070884705
reflectance,7,951.3252156862745,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48981043577194217,0.7265076339244843,0.7809309315681457,0.641260951757431,0.7855042815208435
reflectance,8,956.7859607843137,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49698098659515383,0.7265465557575226,0.7804924190044403,0.6428821802139283,0.7833974003791809
reflectance,9,962.246705882353,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5009451472759248,0.7233846187591553,0.7772433114051819,0.6413678109645844,0.7781994700431824
reflectance,10,967.7074509803922,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5038969069719315,0.718965470790863,0.774367555975914,0.6391248285770417,0.77449209690094
reflectance,11,973.1681960784314,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504166676402092,0.714142382144928,0.7711292803287506,0.6365806341171265,0.7712066888809205
reflectance,12,978.6289411764706,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045757776498795,0.7107203006744385,0.7681323438882828,0.6384093761444092,0.7684057116508484
reflectance,13,984.0896862745099,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504960623383522,0.7084844708442688,0.7656436425447464,0.6405948638916016,0.7655333042144775
reflectance,14,989.550431372549,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505977817773819,0.707281619310379,0.7645876550674439,0.6429658532142639,0.7632539629936218
reflectance,15,995.0111764705882,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5066689497232437,0.7078148722648621,0.7651427793502806,0.644048273563385,0.7626090049743652
reflectance,16,1000.4719215686275,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5093126183748246,0.70970618724823,0.7665077894926071,0.6461493253707886,0.7632500290870666
reflectance,17,1005.9326666666667,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5108938694000245,0.7123396992683411,0.769499272108078,0.6493484377861023,0.764956271648407
reflectance,18,1011.3934117647059,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5128754639625549,0.7151466906070709,0.7726254612207413,0.6526868224143982,0.7671727538108826
reflectance,19,1016.8541568627452,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5149027866125107,0.7184638381004333,0.7759102284908295,0.6561786055564881,0.7704078555107117
reflectance,20,1022.3149019607844,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5175587517023087,0.7224469780921936,0.7796398234367373,0.6600072979927063,0.7741577744483947
reflectance,21,1027.7756470588236,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5204866236448288,0.7266435325145721,0.783725212812424,0.6638194561004639,0.7780431270599365
reflectance,22,1033.2363921568628,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5218409514427185,0.7304149866104126,0.7877262115478517,0.6675473093986511,0.7817300677299499
reflectance,23,1038.697137254902,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523099672794342,0.7342081665992737,0.7904504376649857,0.6707903027534485,0.7847182989120484
reflectance,24,1044.1578823529412,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5235557639598847,0.7377573847770691,0.792845355272293,0.6742639780044556,0.7874633312225342
reflectance,25,1049.6186274509805,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5260325187444687,0.7410545945167542,0.7952372968196869,0.6777913331985473,0.7898772358894348
reflectance,26,1055.0793725490196,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5290184819698334,0.7443082928657532,0.7978895127773286,0.6814219474792481,0.7920240879058837
reflectance,27,1060.5401176470589,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5310947114229202,0.7475419044494629,0.8006370812654495,0.685018801689148,0.7941162347793579
reflectance,28,1066.0008627450982,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533408698439598,0.7505477666854858,0.8030031621456146,0.6885157108306885,0.7961989521980286
reflectance,29,1071.4616078431372,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536146222949028,0.7538067698478699,0.8057474970817566,0.6922832489013672,0.7985314011573792
reflectance,30,1076.9223529411765,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394558984041214,0.7569827437400818,0.8092522609233856,0.6958962321281433,0.8010920286178589
reflectance,31,1082.3830980392158,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5418118548393249,0.7604656219482422,0.8131520205736161,0.6997315883636475,0.8046242833137512
reflectance,32,1087.843843137255,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5448376280069351,0.7641996741294861,0.8168132376670838,0.703204071521759,0.8078526020050049
reflectance,33,1093.3045882352942,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5471379113197327,0.7680218815803528,0.8201939105987549,0.7065550446510315,0.8107626438140869
reflectance,34,1098.7653333333333,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5495826315879822,0.7714147567749023,0.82291230738163,0.7097880363464356,0.813091766834259
reflectance,35,1104.2260784313726,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5518035888671875,0.7736160159111023,0.8244948387145996,0.712311851978302,0.8141118049621582
reflectance,36,1109.6868235294119,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538564705848694,0.7736945748329163,0.8240003883838654,0.713241696357727,0.8130202889442444
reflectance,37,1115.1475686274512,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5553863829374314,0.770770251750946,0.8213419169187546,0.7118013620376588,0.8094159722328186
reflectance,38,1120.6083137254902,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5549867463111877,0.7644653618335724,0.8161239475011826,0.7077861905097962,0.8030023097991943
reflectance,39,1126.0690588235295,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5543520206212997,0.7550899982452393,0.8087969851493835,0.7009405970573426,0.7934370160102844
reflectance,40,1131.5298039215686,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5495445966720581,0.7436838150024414,0.7984878933429718,0.6889814138412476,0.782682228088379
reflectance,41,1136.990549019608,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5451534390449524,0.7326157689094543,0.7881882399320602,0.6760841965675354,0.7720351815223694
reflectance,42,1142.4512941176472,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5439033538103104,0.721771240234375,0.7776839596033096,0.6642272353172303,0.76197429895401
reflectance,43,1147.9120392156863,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5400454449653626,0.7114041447639465,0.7705104130506515,0.6536080658435821,0.7517717838287353
reflectance,44,1153.3727843137256,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5373733043670654,0.7004719972610474,0.7629772424697876,0.6467465758323669,0.739914494752884
reflectance,45,1158.8335294117649,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5348745894432068,0.6896882057189941,0.7541909635066986,0.6416738271713257,0.7284867763519287
reflectance,46,1164.294274509804,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5247421270608902,0.6799971461296082,0.7464233982563019,0.6338458299636841,0.7182790577411652
reflectance,47,1169.7550196078432,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515306236743927,0.6706462502479553,0.7387889510393143,0.6242031335830689,0.7093026101589203
reflectance,48,1175.2157647058825,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5055580163002014,0.6629802584648132,0.731702808737755,0.615443480014801,0.7019990921020508
reflectance,49,1180.6765098039216,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5036153721809388,0.654777467250824,0.7249863892793655,0.6066216349601745,0.6959092378616333
reflectance,50,1186.137254901961,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49675158977508543,0.6459999084472656,0.71721986413002,0.5977168679237366,0.6890570044517517
reflectance,51,1191.598,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48984911501407624,0.637793242931366,0.7100846540927889,0.5903475463390351,0.6833804607391357
