priority,metric,window,source_metric,label,expression,kind,k,sample_id,fold,repeat_a,repeat_b,value,undefined_reason,used_clusters,degeneracy_flags
3,ARI,,ari,ARI,A0,condition,2,KYOw02702,4,1,2,0.36345797777175903,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02702,4,1,3,0.3774285614490509,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02702,4,2,3,0.530637264251709,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02707,1,1,2,-0.022384416311979294,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02707,1,1,3,0.9737414121627808,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02707,1,2,3,-0.02297397516667843,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02708,4,1,2,0.3286808133125305,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02708,4,1,3,0.2854090929031372,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02708,4,2,3,0.5746910572052002,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02709,5,1,2,-0.03538837656378746,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02709,5,1,3,0.6530153155326843,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02709,5,2,3,-0.04555448889732361,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02715,3,1,2,-0.0009908367646858096,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02715,3,1,3,-0.0009789972100406885,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02715,3,2,3,0.9819068908691406,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02716,3,1,2,-0.0005217536236159503,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02716,3,1,3,0.0013995289336889982,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02716,3,2,3,0.9055346250534058,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02717,3,1,2,-0.05143994092941284,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02717,3,1,3,-0.05094366893172264,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02717,3,2,3,0.9787330627441406,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02719,5,1,2,0.013533602468669415,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02719,5,1,3,0.8200344443321228,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02719,5,2,3,0.01971505768597126,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02720,1,1,2,-0.001487018191255629,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02720,1,1,3,0.935103714466095,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02720,1,2,3,-0.0014911049511283636,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02751,1,1,2,0.05131795257329941,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02751,1,1,3,0.9775129556655884,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02751,1,2,3,0.05264847353100777,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02752,1,1,2,-0.03779352083802223,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02752,1,1,3,0.9553859233856201,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02752,1,2,3,-0.03689105436205864,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02754,2,1,2,0.031066901981830597,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02754,2,1,3,0.0008344707894138992,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02754,2,2,3,0.0014145267195999622,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02756,3,1,2,-0.05900825932621956,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02756,3,1,3,-0.06025220826268196,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02756,3,2,3,0.9795002341270447,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02758,3,1,2,0.042174164205789566,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02758,3,1,3,0.04012252017855644,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02758,3,2,3,0.9632941484451294,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02759,5,1,2,0.0003524004714563489,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02759,5,1,3,0.8243487477302551,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02759,5,2,3,0.0034548158291727304,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02760,3,1,2,-0.029162196442484856,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02760,3,1,3,-0.029187699779868126,,"[2, 2]",[]
