condition,k,fold,repeat,scope,cluster_id,pooled_pixels,pooled_fraction,sample_macro_fraction
B0,2,1,1,clean_test,1,63960,0.07056269223810385,0.09101459558025296
B0,2,1,1,clean_test,2,842468,0.9294373077618961,0.9089854044197472
B0,2,1,2,clean_test,1,63891,0.0704865692586725,0.09091199221837802
B0,2,1,2,clean_test,2,842537,0.9295134307413275,0.9090880077816219
B0,2,1,3,clean_test,1,63890,0.07048546602708654,0.09091112324255293
B0,2,1,3,clean_test,2,842538,0.9295145339729135,0.909088876757447
B0,2,2,1,clean_test,1,625698,0.8004682312755464,0.852061796504675
B0,2,2,1,clean_test,2,155967,0.19953176872445358,0.147938203495325
B0,2,2,2,clean_test,1,156520,0.20023923291947318,0.14880955131672186
B0,2,2,2,clean_test,2,625145,0.7997607670805268,0.8511904486832782
B0,2,2,3,clean_test,1,625764,0.8005526664235958,0.8521639049492606
B0,2,2,3,clean_test,2,155901,0.1994473335764042,0.14783609505073936
B0,2,3,1,clean_test,1,36570,0.05477158287927487,0.07924517327572891
B0,2,3,1,clean_test,2,631112,0.9452284171207251,0.9207548267242712
B0,2,3,2,clean_test,1,631581,0.9459308473195324,0.9217855850838566
B0,2,3,2,clean_test,2,36101,0.05406915268046765,0.07821441491614334
B0,2,3,3,clean_test,1,631076,0.9451744992376611,0.920671782305798
B0,2,3,3,clean_test,2,36606,0.054825500762338955,0.07932821769420191
B0,2,4,1,clean_test,1,673548,0.8979382886395905,0.8901096997584655
B0,2,4,1,clean_test,2,76557,0.10206171136040955,0.10989030024153432
B0,2,4,2,clean_test,1,673578,0.8979782830403743,0.8901523426384876
B0,2,4,2,clean_test,2,76527,0.10202171695962566,0.10984765736151234
B0,2,4,3,clean_test,1,673656,0.8980822684824125,0.8902628521661218
B0,2,4,3,clean_test,2,76449,0.10191773151758754,0.1097371478338782
B0,2,5,1,clean_test,1,683571,0.8583585519293796,0.8796039005515356
B0,2,5,1,clean_test,2,112799,0.14164144807062043,0.12039609944846437
B0,2,5,2,clean_test,1,113545,0.1425781985760388,0.12117695990079845
B0,2,5,2,clean_test,2,682825,0.8574218014239612,0.8788230400992014
B0,2,5,3,clean_test,1,112413,0.14115674874744152,0.11999482367991823
B0,2,5,3,clean_test,2,683957,0.8588432512525584,0.8800051763200817
B0,4,1,1,clean_test,1,509013,0.5615592192650712,0.5679717796816289
B0,4,1,1,clean_test,2,91875,0.10135940196022188,0.12703979957306327
B0,4,1,1,clean_test,3,290514,0.3205042209640479,0.28379248549020947
B0,4,1,1,clean_test,4,15026,0.016577157810658983,0.02119593525509839
B0,4,1,2,clean_test,1,529922,0.5846266884959423,0.5839546377297434
B0,4,1,2,clean_test,2,97058,0.10707745127026085,0.1336812046558697
B0,4,1,2,clean_test,3,15927,0.017571169469610383,0.022523121538590363
B0,4,1,2,clean_test,4,263521,0.29072469076418644,0.25984103607579645
B0,4,1,3,clean_test,1,91939,0.10143000878172342,0.1271257951841881
B0,4,1,3,clean_test,2,290349,0.3203221877523642,0.2836444145607231
B0,4,1,3,clean_test,3,15042,0.016594809516034367,0.021221597047249616
B0,4,1,3,clean_test,4,509098,0.561652993949878,0.5680081932078392
B0,4,2,1,clean_test,1,379738,0.4858065795449457,0.48064219821218057
B0,4,2,1,clean_test,2,246968,0.31595120671899085,0.3730301857225753
B0,4,2,1,clean_test,3,97687,0.12497297435602209,0.09803866776492028
B0,4,2,1,clean_test,4,57272,0.07326923938004132,0.04828894830032395
B0,4,2,2,clean_test,1,258397,0.3305725598562044,0.38798489726274216
B0,4,2,2,clean_test,2,68482,0.08761042134418197,0.05760036214077892
B0,4,2,2,clean_test,3,89520,0.11452476444512674,0.09354307390973171
B0,4,2,2,clean_test,4,365266,0.4672922543544869,0.4608716666867472
B0,4,2,3,clean_test,1,260981,0.33387832383437915,0.3914512379666515
B0,4,2,3,clean_test,2,68739,0.08793920669340446,0.057807782221071156
B0,4,2,3,clean_test,3,362424,0.4636564257066646,0.45700326839611105
B0,4,2,3,clean_test,4,89521,0.11452604376555174,0.09373771141616635
B0,4,3,1,clean_test,1,127112,0.19037805422341775,0.19255352558119737
B0,4,3,1,clean_test,2,473980,0.7098888392977495,0.6646320479238597
B0,4,3,1,clean_test,3,56182,0.08414484739741374,0.11892860765576767
B0,4,3,1,clean_test,4,10408,0.015588259081418998,0.023885818839175323
B0,4,3,2,clean_test,1,69031,0.10338903849437307,0.1427791304049652
B0,4,3,2,clean_test,2,94087,0.14091588510698205,0.145899918588632
B0,4,3,2,clean_test,3,11752,0.017601193382478484,0.02652512410476866
B0,4,3,2,clean_test,4,492812,0.7380938830161664,0.6847958269016341
B0,4,3,3,clean_test,1,69282,0.10376496595684773,0.14326364885146775
B0,4,3,3,clean_test,2,11779,0.017641631794776555,0.026573394146102946
B0,4,3,3,clean_test,3,493155,0.7386076006242492,0.6851399326148766
B0,4,3,3,clean_test,4,93466,0.13998580162412647,0.14502302438755277
B0,4,4,1,clean_test,1,191497,0.2552935922304211,0.24950993045302688
B0,4,4,1,clean_test,2,32187,0.042909992601035854,0.04680471176201219
B0,4,4,1,clean_test,3,90811,0.1210643843195286,0.12755082818683294
B0,4,4,1,clean_test,4,435610,0.5807320308490145,0.5761345295981279
B0,4,4,2,clean_test,1,190473,0.2539284500169976,0.2482001444740302
B0,4,4,2,clean_test,2,32251,0.04299531398937482,0.04689450984459521
B0,4,4,2,clean_test,3,91044,0.12137500749895015,0.12785937619160093
B0,4,4,2,clean_test,4,436337,0.5817012284946774,0.5770459694897736
B0,4,4,3,clean_test,1,437914,0.5838036008292172,0.5790653761437492
B0,4,4,3,clean_test,2,91241,0.12163763739743103,0.12812581483478
B0,4,4,3,clean_test,3,188661,0.2515127882096507,0.24585816956963685
B0,4,4,3,clean_test,4,32289,0.04304597356370108,0.04695063945183383
B0,4,5,1,clean_test,1,378340,0.47508067857905245,0.487589772107707
B0,4,5,1,clean_test,2,216351,0.27167145924633024,0.221915310518682
B0,4,5,1,clean_test,3,23986,0.030119165714429224,0.026688861079627466
B0,4,5,1,clean_test,4,177693,0.2231286964601881,0.26380605629398357
B0,4,5,2,clean_test,1,222559,0.2794668307445032,0.22767390697495507
B0,4,5,2,clean_test,2,378657,0.47547873475896885,0.49125366371823836
B0,4,5,2,clean_test,3,24608,0.03090020970152065,0.027369095378874483
B0,4,5,2,clean_test,4,170546,0.21415422479500734,0.253703333927932
B0,4,5,3,clean_test,1,204236,0.2564586812662456,0.3010008355576081
B0,4,5,3,clean_test,2,186067,0.2336439092381682,0.19393208355076172
B0,4,5,3,clean_test,3,20235,0.025409043535040244,0.022684260386593703
B0,4,5,3,clean_test,4,385832,0.48448836596054595,0.48238282050503645
B0,6,1,1,clean_test,1,16387,0.018078655999152718,0.023822375794781664
B0,6,1,1,clean_test,2,454611,0.5015412145255883,0.42538365656343835
B0,6,1,1,clean_test,3,298129,0.3289053294911455,0.3692837413853695
B0,6,1,1,clean_test,4,3173,0.003500553822256153,0.004241738790341664
B0,6,1,1,clean_test,5,74062,0.08170753771948792,0.10273015875812189
B0,6,1,1,clean_test,6,60066,0.06626670844236938,0.07453832870794692
B0,6,1,2,clean_test,1,60422,0.06665945888697172,0.07494028302502939
B0,6,1,2,clean_test,2,16368,0.018057694599019448,0.02379806997169402
B0,6,1,2,clean_test,3,297328,0.32802164099079023,0.3684205384275004
B0,6,1,2,clean_test,4,3176,0.0035038635170140373,0.004245018374927616
B0,6,1,2,clean_test,5,455188,0.5021777791506882,0.4260175754038456
B0,6,1,2,clean_test,6,73946,0.08157956285551637,0.10257851479700301
B0,6,1,3,clean_test,1,75056,0.08280414991593375,0.09023155484282484
B0,6,1,3,clean_test,2,3008,0.003318520610572489,0.004010537855109136
B0,6,1,3,clean_test,3,13842,0.01527093161288045,0.020081928570120082
B0,6,1,3,clean_test,4,66478,0.07334062937155517,0.09319097755658846
B0,6,1,3,clean_test,5,256328,0.2827891459663647,0.32377544037331746
B0,6,1,3,clean_test,6,491716,0.5424766225226935,0.46870956080204007
B0,6,2,1,clean_test,1,303463,0.38822641412881476,0.41418865820051265
B0,6,2,1,clean_test,2,7939,0.010156524853997557,0.007190476808139894
B0,6,2,1,clean_test,3,123225,0.15764425936942297,0.195403738196514
B0,6,2,1,clean_test,4,116591,0.14915724767003768,0.09870594398940777
B0,6,2,1,clean_test,5,34182,0.04372973076701656,0.0463596009839169
B0,6,2,1,clean_test,6,196265,0.2510858232107105,0.23815158182150875
B0,6,2,2,clean_test,1,302678,0.3872221475951974,0.4113964819853935
B0,6,2,2,clean_test,2,190573,0.243803931351666,0.23107604752228178
B0,6,2,2,clean_test,3,7831,0.010018358248098611,0.007098710395078861
B0,6,2,2,clean_test,4,129000,0.16503233482374163,0.20414254604167023
B0,6,2,2,clean_test,5,116794,0.1494169497163107,0.09886690246568375
B0,6,2,2,clean_test,6,34789,0.04450627826498564,0.04741931158989181
B0,6,2,3,clean_test,1,195757,0.25043592843481544,0.2375212200013182
B0,6,2,3,clean_test,2,34461,0.04408666116558884,0.046465520469311725
B0,6,2,3,clean_test,3,123526,0.15802933481734502,0.19585854379188697
B0,6,2,3,clean_test,4,7828,0.010014520286823638,0.00709632842185224
B0,6,2,3,clean_test,5,303888,0.3887701253094356,0.41470705871500935
B0,6,2,3,clean_test,6,116205,0.14866342998599144,0.09835132860062151
B0,6,3,1,clean_test,1,34549,0.051744692832815624,0.05511138515202198
B0,6,3,1,clean_test,2,3585,0.005369322521799299,0.009369895128051735
B0,6,3,1,clean_test,3,36271,0.05432376490604809,0.0781011775299432
B0,6,3,1,clean_test,4,333678,0.4997558718072376,0.4620132481124736
B0,6,3,1,clean_test,5,252714,0.37849455279609157,0.38042438618869345
B0,6,3,1,clean_test,6,6885,0.01031179513600786,0.014979907888816077
B0,6,3,2,clean_test,1,34757,0.05205621837940816,0.05543481357740241
B0,6,3,2,clean_test,2,36192,0.05420544510710188,0.07795638872973973
B0,6,3,2,clean_test,3,334776,0.5014003672406925,0.4633788846424346
B0,6,3,2,clean_test,4,6881,0.01030580426011185,0.014974953876646435
B0,6,3,2,clean_test,5,251490,0.3766613447719124,0.3788834716636808
B0,6,3,2,clean_test,6,3586,0.0053708202407733024,0.009371487510096036
B0,6,3,3,clean_test,1,299756,0.4489502487711216,0.43488009457289306
B0,6,3,3,clean_test,2,8360,0.012520930622661686,0.01778889738039608
B0,6,3,3,clean_test,3,285806,0.4280570690837854,0.4019156381027357
B0,6,3,3,clean_test,4,42647,0.06387322108428863,0.09195265082217599
B0,6,3,3,clean_test,5,27290,0.040872750800530794,0.04354013472886527
B0,6,3,3,clean_test,6,3823,0.005725779637611917,0.009922584392933944
B0,6,4,1,clean_test,1,416360,0.5550689570126849,0.5443278094319061
B0,6,4,1,clean_test,2,60771,0.08101665766792648,0.08601763306948432
B0,6,4,1,clean_test,3,7766,0.010353217216256391,0.011445289770487518
B0,6,4,1,clean_test,4,193364,0.2577825771058718,0.25405863524652406
B0,6,4,1,clean_test,5,23269,0.031020990394678077,0.03379232435797577
B0,6,4,1,clean_test,6,48575,0.0647576006025823,0.07035830812362229
B0,6,4,2,clean_test,1,49069,0.0654161750688237,0.07099060093145522
B0,6,4,2,clean_test,2,60599,0.08078735643676552,0.08578178046595371
B0,6,4,2,clean_test,3,7763,0.010349217776178001,0.011440888585693896
B0,6,4,2,clean_test,4,417132,0.5560981462595237,0.5453431992997061
B0,6,4,2,clean_test,5,23206,0.030937002153031908,0.03370266816865181
B0,6,4,2,clean_test,6,192336,0.2564121023056772,0.25274086254853934
B0,6,4,3,clean_test,1,393457,0.5245358983075703,0.5150326423421717
B0,6,4,3,clean_test,2,8381,0.011173102432326141,0.012341388218719215
B0,6,4,3,clean_test,3,66018,0.08801167836502889,0.09314602119167231
B0,6,4,3,clean_test,4,37834,0.0504382719752568,0.05622333409702026
B0,6,4,3,clean_test,5,26083,0.03477246518820699,0.03784297924083353
B0,6,4,3,clean_test,6,218332,0.29106858373161093,0.28541363490958294
B0,6,5,1,clean_test,1,26605,0.03340783806522094,0.028700463566508898
B0,6,5,1,clean_test,2,47578,0.05974358652385198,0.07278021238793102
B0,6,5,1,clean_test,3,277211,0.3480932229993596,0.3316975718137076
B0,6,5,1,clean_test,4,171754,0.21567110765096625,0.17920155692774495
B0,6,5,1,clean_test,5,5044,0.00633373934226553,0.006018850600395435
B0,6,5,1,clean_test,6,268178,0.3367505054183357,0.3816013447037121
B0,6,5,2,clean_test,1,268830,0.33756922033728043,0.382470606228743
B0,6,5,2,clean_test,2,5020,0.006303602596782903,0.005993598067474368
B0,6,5,2,clean_test,3,26329,0.03306126549217073,0.028401691126686432
B0,6,5,2,clean_test,4,170542,0.21414920200409357,0.17809465036539207
B0,6,5,2,clean_test,5,277874,0.34892575059331715,0.33198704774432763
B0,6,5,2,clean_test,6,47775,0.05999095897635521,0.07305240646737654
B0,6,5,3,clean_test,1,47207,0.0592777226665997,0.07223659772241653
B0,6,5,3,clean_test,2,25676,0.03224129487549757,0.02771110637861454
B0,6,5,3,clean_test,3,168694,0.21182867260193125,0.17635522056425426
B0,6,5,3,clean_test,4,269769,0.3387483205042882,0.3838144989947342
B0,6,5,3,clean_test,5,280072,0.35168577420043445,0.33396999449704357
B0,6,5,3,clean_test,6,4952,0.006218215151248791,0.005912581842936939
B0,8,1,1,clean_test,1,421135,0.4646094339539379,0.41802705357762954
B0,8,1,1,clean_test,2,2295,0.002531916489781869,0.0040829666001228225
B0,8,1,1,clean_test,3,189649,0.20922676704603124,0.18785353965744245
B0,8,1,1,clean_test,4,29922,0.033010895515142955,0.04197062008202803
B0,8,1,1,clean_test,5,197466,0.21785072835349306,0.2516225392070813
B0,8,1,1,clean_test,6,56167,0.06196520848870511,0.07844570084963755
