condition,fold,repeat,sample_id,k,scope,valid_pixels,used_clusters,max_occupancy,single_cluster,cluster_counts,cluster_fractions
B0,1,1,KYOw02707,2,clean_test,115078,2,0.9802742487703993,False,"[2270, 112808]","[0.019725751229600793, 0.9802742487703993]"
B0,1,1,KYOw02707,4,clean_test,115078,4,0.6213959227654287,False,"[39827, 3063, 71509, 679]","[0.3460870018596083, 0.026616729522584683, 0.6213959227654287, 0.005900345852378387]"
B0,1,1,KYOw02707,6,clean_test,115078,6,0.8857991970663376,False,"[647, 101936, 9686, 160, 2489, 160]","[0.005622273588348772, 0.8857991970663376, 0.084168998418464, 0.0013903613201480735, 0.021628808286553468, 0.0013903613201480735]"
B0,1,1,KYOw02707,8,clean_test,115078,8,0.5600462295138949,False,"[64449, 91, 41343, 1105, 5976, 1942, 1, 171]","[0.5600462295138949, 0.0007907680008342168, 0.35926067536801126, 0.009602182867272633, 0.05192999530753054, 0.016875510523297242, 8.68975825092546e-06, 0.0014859486609082534]"
B0,1,1,KYOw02707,10,clean_test,115078,10,0.8108065833608509,False,"[11717, 344, 2742, 1, 1391, 4502, 93306, 50, 70, 955]","[0.10181789742609361, 0.002989276838318358, 0.02382731712403761, 8.68975825092546e-06, 0.012087453727037314, 0.03912129164566642, 0.8108065833608509, 0.000434487912546273, 0.0006082830775647821, 0.008298719129633814]"
B0,1,1,KYOw02707,12,clean_test,115078,12,0.8097203635794852,False,"[93181, 8, 2153, 27, 135, 789, 1518, 13343, 1, 2455, 1394, 74]","[0.8097203635794852, 6.951806600740368e-05, 0.018709049514242515, 0.0002346234727749874, 0.001173117363874937, 0.006856219259980188, 0.013191053024904847, 0.1159474443420984, 8.68975825092546e-06, 0.021333356506022003, 0.01211352300179009, 0.000643042110568484]"
B0,1,1,KYOw02707,14,clean_test,115078,14,0.6503501972575123,False,"[16148, 7, 926, 1, 14948, 772, 29, 4159, 60, 74841, 136, 1217, 143, 1691]","[0.14032221623594432, 6.0828307756478214e-05, 0.008046716140356975, 8.68975825092546e-06, 0.12989450633483376, 0.006708493369714455, 0.0002520029892768383, 0.03614070456559899, 0.0005213854950555276, 0.6503501972575123, 0.0011818071221258624, 0.010575435791376283, 0.0012426354298823406, 0.014694381202314952]"
B0,1,1,KYOw02720,2,clean_test,131174,2,0.989250918627167,False,"[1410, 129764]","[0.01074908137283303, 0.989250918627167]"
B0,1,1,KYOw02720,4,clean_test,131174,4,0.6165779803924558,False,"[47576, 2470, 80879, 249]","[0.3626938265204995, 0.018829951057374176, 0.6165779803924558, 0.001898242029670514]"
B0,1,1,KYOw02720,6,clean_test,131174,6,0.7735069449738515,False,"[288, 101464, 18717, 11, 1932, 8762]","[0.002195557046365896, 0.7735069449738515, 0.14268833762788358, 8.385808163203073e-05, 0.014728528519371217, 0.06679677375089575]"
B0,1,1,KYOw02720,8,clean_test,131174,7,0.4959824355436291,False,"[65060, 0, 52073, 776, 11801, 1301, 158, 5]","[0.4959824355436291, 0.0, 0.396976534984067, 0.0059158064860414415, 0.08996447466723588, 0.009918124018479272, 0.0012045069907146233, 3.8117309832741245e-05]"
B0,1,1,KYOw02720,10,clean_test,131174,8,0.641247503316206,False,"[18261, 122, 5376, 8, 1092, 22130, 84115, 0, 0, 70]","[0.13921203897113757, 0.0009300623599188864, 0.040983731532163385, 6.098769573238599e-05, 0.008324820467470687, 0.16870721331971275, 0.641247503316206, 0.0, 0.0, 0.0005336423376583775]"
B0,1,1,KYOw02720,12,clean_test,131174,10,0.6460197905072652,False,"[84741, 0, 6807, 0, 1, 464, 53, 19194, 4, 18736, 1170, 4]","[0.6460197905072652, 0.0, 0.05189290560629393, 0.0, 7.623461966548249e-06, 0.0035372863524783874, 0.0004040434842270572, 0.14632472898592708, 3.0493847866192996e-05, 0.142833183405248, 0.008919450500861452, 3.0493847866192996e-05]"
B0,1,1,KYOw02720,14,clean_test,131174,12,0.4717474499519722,False,"[1685, 0, 3154, 2, 44954, 455, 0, 10886, 4, 61881, 1, 882, 7173, 97]","[0.0128455334136338, 0.0, 0.024044399042493177, 1.5246923933096498e-05, 0.34270510924421, 0.003468675194779453, 0.0, 0.08298900696784424, 3.0493847866192996e-05, 0.4717474499519722, 7.623461966548249e-06, 0.006723893454495556, 0.05468309268605059, 0.0007394758107551802]"
B0,1,1,KYOw02751,2,clean_test,71469,2,0.9158376358980816,False,"[6015, 65454]","[0.08416236410191831, 0.9158376358980816]"
B0,1,1,KYOw02751,4,clean_test,71469,4,0.7980523023968434,False,"[57036, 8629, 4724, 1080]","[0.7980523023968434, 0.12073766248303461, 0.06609858819907932, 0.01511144692104269]"
B0,1,1,KYOw02751,6,clean_test,71469,6,0.6058291007289874,False,"[1533, 19595, 43298, 95, 6941, 7]","[0.021449859379591152, 0.2741748170535477, 0.6058291007289874, 0.0013292476458324589, 0.09711903062866417, 9.794456337712854e-05]"
B0,1,1,KYOw02751,8,clean_test,71469,7,0.44531195343435614,False,"[29901, 334, 1492, 2420, 31826, 5396, 0, 100]","[0.4183771985056458, 0.004673354881137276, 0.020876184079810827, 0.03386083476752158, 0.44531195343435614, 0.07550126628328366, 0.0, 0.0013992080482446935]"
B0,1,1,KYOw02751,10,clean_test,71469,9,0.4704697141417957,False,"[33624, 255, 15122, 0, 3401, 180, 15846, 583, 7, 2451]","[0.4704697141417957, 0.0035679805230239684, 0.21158824105556256, 0.0, 0.04758706572080203, 0.002518574486840448, 0.22171850732485412, 0.008157382921266563, 9.794456337712854e-05, 0.034294589262477436]"
B0,1,1,KYOw02751,12,clean_test,71469,10,0.4137038436245085,False,"[13457, 116, 20737, 0, 89, 705, 1278, 29567, 0, 106, 4193, 1221]","[0.1882914270522884, 0.0016230813359638444, 0.29015377296450207, 0.0, 0.0012452951629377772, 0.009864416740125089, 0.017881878856567182, 0.4137038436245085, 0.0, 0.0014831605311393752, 0.0586687934629, 0.017084330269067707]"
B0,1,1,KYOw02751,14,clean_test,71469,12,0.3754494955854986,False,"[214, 121, 9401, 0, 26833, 728, 0, 25119, 1077, 2768, 90, 3678, 4, 1436]","[0.002994305223243644, 0.0016930417383760792, 0.13153954861548364, 0.0, 0.3754494955854986, 0.01018623459122137, 0.0, 0.35146706963858454, 0.015069470679595348, 0.03873007877541312, 0.001259287243420224, 0.051462872014439824, 5.596832192978774e-05, 0.0200926275727938]"
B0,1,1,KYOw02752,2,clean_test,117193,2,0.9743500038398197,False,"[3006, 114187]","[0.025649996160180214, 0.9743500038398197]"
B0,1,1,KYOw02752,4,clean_test,117193,4,0.7456247386789313,False,"[87382, 6177, 22899, 735]","[0.7456247386789313, 0.052707926241328404, 0.195395629431792, 0.0062717056479482565]"
B0,1,1,KYOw02752,6,clean_test,117193,6,0.5570895872620378,False,"[694, 65287, 43509, 166, 4679, 2858]","[0.0059218554009198504, 0.5570895872620378, 0.37125937555997374, 0.0014164668538223272, 0.03992559282551006, 0.024387122097736212]"
B0,1,1,KYOw02752,8,clean_test,117193,8,0.6101046990861229,False,"[71500, 16, 14153, 1367, 26112, 3864, 15, 166]","[0.6101046990861229, 0.00013652692566962191, 0.12076659868763492, 0.011664519211898322, 0.22281194269282295, 0.03297125254921369, 0.00012799399281527053, 0.0014164668538223272]"
B0,1,1,KYOw02752,10,clean_test,117193,10,0.4054252387087966,False,"[46757, 436, 12117, 5, 1840, 7055, 47513, 12, 16, 1442]","[0.398974341470907, 0.003720358724497197, 0.10339354739617554, 4.2664664271756846e-05, 0.01570059645200652, 0.06019984128744891, 0.4054252387087966, 0.00010239519425221643, 0.00013652692566962191, 0.012304489175974674]"
B0,1,1,KYOw02752,12,clean_test,117193,11,0.42825936702704087,False,"[42421, 0, 12590, 2, 131, 856, 2344, 50189, 4, 6151, 2494, 11]","[0.3619755446144394, 0.0, 0.10742962463628374, 1.706586570870274e-05, 0.0011178142039200293, 0.007304190523324772, 0.02000119461059961, 0.42825936702704087, 3.413173141740548e-05, 0.052486069987115275, 0.021281134538752314, 9.386226139786505e-05]"
B0,1,1,KYOw02752,14,clean_test,117193,12,0.31498468338552643,False,"[22453, 0, 5820, 0, 36914, 842, 2, 23120, 8, 20395, 135, 2026, 2393, 3085]","[0.1915899413787513, 0.0, 0.04966166921232497, 0.0, 0.31498468338552643, 0.0071847294633638524, 1.706586570870274e-05, 0.19728140759260365, 6.826346283481096e-05, 0.17402916556449619, 0.0011519459353374348, 0.017287721962915874, 0.020419308320462827, 0.026324097855673974]"
