condition,sample_id,fold,repeat,k,valid_pixels,used_clusters,max_occupancy,single_cluster,cluster_counts
B0,KYOw02707,1,1,2,115078,2,0.9802742487703993,False,"[2270, 112808]"
B0,KYOw02707,1,1,4,115078,4,0.6213959227654287,False,"[39827, 3063, 71509, 679]"
B0,KYOw02707,1,1,6,115078,6,0.8857991970663376,False,"[647, 101936, 9686, 160, 2489, 160]"
B0,KYOw02707,1,1,8,115078,8,0.5600462295138949,False,"[64449, 91, 41343, 1105, 5976, 1942, 1, 171]"
B0,KYOw02707,1,1,10,115078,10,0.8108065833608509,False,"[11717, 344, 2742, 1, 1391, 4502, 93306, 50, 70, 955]"
B0,KYOw02707,1,1,12,115078,12,0.8097203635794852,False,"[93181, 8, 2153, 27, 135, 789, 1518, 13343, 1, 2455, 1394, 74]"
B0,KYOw02707,1,1,14,115078,14,0.6503501972575123,False,"[16148, 7, 926, 1, 14948, 772, 29, 4159, 60, 74841, 136, 1217, 143, 1691]"
B0,KYOw02720,1,1,2,131174,2,0.989250918627167,False,"[1410, 129764]"
B0,KYOw02720,1,1,4,131174,4,0.6165779803924558,False,"[47576, 2470, 80879, 249]"
B0,KYOw02720,1,1,6,131174,6,0.7735069449738515,False,"[288, 101464, 18717, 11, 1932, 8762]"
B0,KYOw02720,1,1,8,131174,7,0.4959824355436291,False,"[65060, 0, 52073, 776, 11801, 1301, 158, 5]"
B0,KYOw02720,1,1,10,131174,8,0.641247503316206,False,"[18261, 122, 5376, 8, 1092, 22130, 84115, 0, 0, 70]"
B0,KYOw02720,1,1,12,131174,10,0.6460197905072652,False,"[84741, 0, 6807, 0, 1, 464, 53, 19194, 4, 18736, 1170, 4]"
B0,KYOw02720,1,1,14,131174,12,0.4717474499519722,False,"[1685, 0, 3154, 2, 44954, 455, 0, 10886, 4, 61881, 1, 882, 7173, 97]"
B0,KYOw02751,1,1,2,71469,2,0.9158376358980816,False,"[6015, 65454]"
B0,KYOw02751,1,1,4,71469,4,0.7980523023968434,False,"[57036, 8629, 4724, 1080]"
B0,KYOw02751,1,1,6,71469,6,0.6058291007289874,False,"[1533, 19595, 43298, 95, 6941, 7]"
B0,KYOw02751,1,1,8,71469,7,0.44531195343435614,False,"[29901, 334, 1492, 2420, 31826, 5396, 0, 100]"
B0,KYOw02751,1,1,10,71469,9,0.4704697141417957,False,"[33624, 255, 15122, 0, 3401, 180, 15846, 583, 7, 2451]"
B0,KYOw02751,1,1,12,71469,10,0.4137038436245085,False,"[13457, 116, 20737, 0, 89, 705, 1278, 29567, 0, 106, 4193, 1221]"
B0,KYOw02751,1,1,14,71469,12,0.3754494955854986,False,"[214, 121, 9401, 0, 26833, 728, 0, 25119, 1077, 2768, 90, 3678, 4, 1436]"
B0,KYOw02752,1,1,2,117193,2,0.9743500038398197,False,"[3006, 114187]"
B0,KYOw02752,1,1,4,117193,4,0.7456247386789313,False,"[87382, 6177, 22899, 735]"
B0,KYOw02752,1,1,6,117193,6,0.5570895872620378,False,"[694, 65287, 43509, 166, 4679, 2858]"
B0,KYOw02752,1,1,8,117193,8,0.6101046990861229,False,"[71500, 16, 14153, 1367, 26112, 3864, 15, 166]"
B0,KYOw02752,1,1,10,117193,10,0.4054252387087966,False,"[46757, 436, 12117, 5, 1840, 7055, 47513, 12, 16, 1442]"
