subset_index,fold,sample_id,sampling_seed,hdf5_row,pixel_row,pixel_col
0,1,KYOw02702,4073774563,43,43,191
1,1,KYOw02702,4073774563,504,47,152
2,1,KYOw02702,4073774563,1048,51,189
3,1,KYOw02702,4073774563,1473,54,236
4,1,KYOw02702,4073774563,2088,59,225
5,1,KYOw02702,4073774563,2637,64,155
6,1,KYOw02702,4073774563,3216,68,243
7,1,KYOw02702,4073774563,3725,73,144
8,1,KYOw02702,4073774563,4131,76,186
9,1,KYOw02702,4073774563,4555,79,248
10,1,KYOw02702,4073774563,5055,84,149
11,1,KYOw02702,4073774563,5531,88,150
12,1,KYOw02702,4073774563,6052,92,200
13,1,KYOw02702,4073774563,6617,97,176
14,1,KYOw02702,4073774563,7109,101,150
15,1,KYOw02702,4073774563,7580,104,193
16,1,KYOw02702,4073774563,8086,107,227
17,1,KYOw02702,4073774563,8605,110,241
18,1,KYOw02702,4073774563,9027,113,128
19,1,KYOw02702,4073774563,9441,115,181
20,1,KYOw02702,4073774563,9861,117,239
21,1,KYOw02702,4073774563,10397,120,233
22,1,KYOw02702,4073774563,10825,123,121
23,1,KYOw02702,4073774563,11345,126,101
24,1,KYOw02702,4073774563,11786,128,182
25,1,KYOw02702,4073774563,12305,131,161
26,1,KYOw02702,4073774563,12818,134,134
27,1,KYOw02702,4073774563,13413,137,189
28,1,KYOw02702,4073774563,13968,140,205
29,1,KYOw02702,4073774563,14628,144,148
30,1,KYOw02702,4073774563,15117,147,97
31,1,KYOw02702,4073774563,15488,149,111
32,1,KYOw02702,4073774563,15993,152,83
33,1,KYOw02702,4073774563,16499,154,235
34,1,KYOw02702,4073774563,16923,157,131
35,1,KYOw02702,4073774563,17407,160,90
36,1,KYOw02702,4073774563,17895,162,230
37,1,KYOw02702,4073774563,18370,165,185
38,1,KYOw02702,4073774563,18867,168,166
39,1,KYOw02702,4073774563,19375,171,164
40,1,KYOw02702,4073774563,19860,174,143
41,1,KYOw02702,4073774563,20278,176,227
42,1,KYOw02702,4073774563,20663,179,115
43,1,KYOw02702,4073774563,21243,182,200
44,1,KYOw02702,4073774563,21739,185,204
45,1,KYOw02702,4073774563,22224,188,200
46,1,KYOw02702,4073774563,22778,192,108
47,1,KYOw02702,4073774563,23277,195,126
48,1,KYOw02702,4073774563,23793,198,164
49,1,KYOw02702,4073774563,24281,201,178
50,1,KYOw02702,4073774563,24699,204,126
51,1,KYOw02702,4073774563,25178,207,137
52,1,KYOw02702,4073774563,25670,210,163
53,1,KYOw02702,4073774563,26174,213,204
54,1,KYOw02702,4073774563,26651,216,218
55,1,KYOw02702,4073774563,27153,220,134
56,1,KYOw02702,4073774563,27569,223,124
57,1,KYOw02702,4073774563,28040,226,176
58,1,KYOw02702,4073774563,28497,229,222
59,1,KYOw02702,4073774563,29079,234,140
60,1,KYOw02702,4073774563,29544,237,244
61,1,KYOw02702,4073774563,30121,242,225
62,1,KYOw02702,4073774563,30609,246,247
63,1,KYOw02702,4073774563,31095,251,175
64,1,KYOw02702,4073774563,31575,255,223
65,1,KYOw02702,4073774563,31984,259,205
66,1,KYOw02702,4073774563,32515,264,215
67,1,KYOw02702,4073774563,33035,269,240
68,1,KYOw02702,4073774563,33583,275,210
69,1,KYOw02702,4073774563,34052,280,207
70,1,KYOw02702,4073774563,34585,286,95
71,1,KYOw02702,4073774563,35106,291,258
72,1,KYOw02702,4073774563,35585,297,209
